protocol,model,accuracy,macro_f1,folds,seeds
leaky_random,cnn,0.939,0.939,1,1
leaky_random,rf,0.975 ± 0.000,0.976 ± 0.000,1,3
leaky_random,svm,0.964,0.965,1,1
in_condition,cnn,0.913,0.911,1,1
in_condition,rf,0.965 ± 0.000,0.964 ± 0.000,1,3
in_condition,svm,0.955,0.954,1,1
unknown_condition,cnn,0.883 ± 0.051,0.861 ± 0.056,3,1
unknown_condition,rf,0.939 ± 0.024,0.931 ± 0.033,12,3
unknown_condition,svm,0.947 ± 0.027,0.942 ± 0.034,12,1
cross_profile,cnn,0.810 ± 0.134,0.811 ± 0.127,2,1
cross_profile,rf,0.839 ± 0.115,0.843 ± 0.110,2,3
cross_profile,svm,0.874 ± 0.114,0.882 ± 0.102,2,1
single_source,cnn,0.500 ± 0.118,0.498 ± 0.126,3,1
single_source,rf,0.333 ± 0.104,0.361 ± 0.114,12,3
single_source,svm,0.365 ± 0.211,0.410 ± 0.194,12,1
steady_to_transitional,cnn,0.829,0.797,1,1
steady_to_transitional,rf,0.766 ± 0.001,0.753 ± 0.002,1,3
steady_to_transitional,svm,0.885,0.846,1,1
compositional_control,cnn,0.824,0.910,1,1
compositional_control,rf,0.900 ± 0.000,0.933 ± 0.000,1,2
leave_combination_out,rf,0.003 ± 0.004,0.077 ± 0.034,3,2
compositional_zeroshot,rf,0.000 ± 0.000,0.015 ± 0.003,1,2
