protocol,kind,model,features,seed,n_train,n_test,fit_s,acc,macro_f1,noise_snr_db
leaky_random,multiclass,cnn,plain,0,28224,12096,187.5,0.9389880952380952,0.939035894079264,
leaky_random,multiclass,cnn,plain,0,28224,12096,187.5,0.9245205026455028,0.9262802178424592,20.0
leaky_random,multiclass,cnn,plain,0,28224,12096,187.5,0.6746031746031746,0.6837789645055222,10.0
leaky_random,multiclass,cnn,plain,0,28224,12096,187.5,0.1982473544973545,0.1542065264827069,0.0
in_condition,multiclass,cnn,plain,0,24192,11808,127.8,0.9130250677506776,0.911135967651112,
in_condition,multiclass,cnn,plain,0,24192,11808,127.8,0.9004911924119241,0.9004019147401282,20.0
in_condition,multiclass,cnn,plain,0,24192,11808,127.8,0.7029132791327913,0.708752601222908,10.0
in_condition,multiclass,cnn,plain,0,24192,11808,127.8,0.2189193766937669,0.1591196817334777,0.0
unknown_condition[speed_circulation_20Nm_1000rpm],multiclass,cnn,plain,0,36960,3360,161.7,0.8247023809523809,0.7993723096836657,
unknown_condition[speed_circulation_20Nm_1000rpm],multiclass,cnn,plain,0,36960,3360,161.7,0.6717261904761904,0.6614578365584853,20.0
unknown_condition[speed_circulation_20Nm_1000rpm],multiclass,cnn,plain,0,36960,3360,161.7,0.2797619047619047,0.2184591011951203,10.0
unknown_condition[speed_circulation_20Nm_1000rpm],multiclass,cnn,plain,0,36960,3360,161.7,0.0419642857142857,0.0055640094432125,0.0
unknown_condition[speed_circulation_20Nm_2000rpm],multiclass,cnn,plain,0,36960,3360,161.3,0.9086309523809524,0.9091783165952292,
unknown_condition[speed_circulation_20Nm_2000rpm],multiclass,cnn,plain,0,36960,3360,161.3,0.8976190476190476,0.8902888968789394,20.0
unknown_condition[speed_circulation_20Nm_2000rpm],multiclass,cnn,plain,0,36960,3360,161.3,0.6815476190476191,0.6575581998853418,10.0
unknown_condition[speed_circulation_20Nm_2000rpm],multiclass,cnn,plain,0,36960,3360,161.3,0.1967261904761904,0.1727035074900741,0.0
unknown_condition[speed_circulation_20Nm_3000rpm],multiclass,cnn,plain,0,36960,3360,165.1,0.9169642857142856,0.8733978827024659,
unknown_condition[speed_circulation_20Nm_3000rpm],multiclass,cnn,plain,0,36960,3360,165.1,0.8973214285714286,0.8513306255647718,20.0
unknown_condition[speed_circulation_20Nm_3000rpm],multiclass,cnn,plain,0,36960,3360,165.1,0.7410714285714286,0.7034877490685818,10.0
unknown_condition[speed_circulation_20Nm_3000rpm],multiclass,cnn,plain,0,36960,3360,165.1,0.2366071428571428,0.1576280589382701,0.0
cross_profile[train=torque_circulation],multiclass,cnn,plain,0,20160,20160,168.0,0.7145337301587301,0.7215654801029651,
cross_profile[train=torque_circulation],multiclass,cnn,plain,0,20160,20160,168.0,0.7106646825396825,0.7200516673289998,20.0
cross_profile[train=torque_circulation],multiclass,cnn,plain,0,20160,20160,168.0,0.5548115079365079,0.568490258857929,10.0
cross_profile[train=torque_circulation],multiclass,cnn,plain,0,20160,20160,168.0,0.233234126984127,0.1925311196576433,0.0
cross_profile[train=speed_circulation],multiclass,cnn,plain,0,20160,20160,157.3,0.9046626984126984,0.9011282840561722,
cross_profile[train=speed_circulation],multiclass,cnn,plain,0,20160,20160,157.3,0.9092757936507936,0.9093794466872138,20.0
cross_profile[train=speed_circulation],multiclass,cnn,plain,0,20160,20160,157.3,0.694593253968254,0.6753420513085443,10.0
cross_profile[train=speed_circulation],multiclass,cnn,plain,0,20160,20160,157.3,0.2313988095238095,0.1729844349137696,0.0
single_source[speed_circulation_20Nm_1000rpm],multiclass,cnn,plain,0,3360,36960,181.5,0.3633928571428571,0.3522406762519816,
single_source[speed_circulation_20Nm_1000rpm],multiclass,cnn,plain,0,3360,36960,181.5,0.3643668831168831,0.3538313970412485,20.0
single_source[speed_circulation_20Nm_1000rpm],multiclass,cnn,plain,0,3360,36960,181.5,0.3537337662337662,0.3427586935685278,10.0
single_source[speed_circulation_20Nm_1000rpm],multiclass,cnn,plain,0,3360,36960,181.5,0.206737012987013,0.1385870240068409,0.0
single_source[speed_circulation_20Nm_2000rpm],multiclass,cnn,plain,0,3360,36960,127.9,0.5643398268398269,0.5726152517967281,
single_source[speed_circulation_20Nm_2000rpm],multiclass,cnn,plain,0,3360,36960,127.9,0.5581439393939394,0.5650986229235222,20.0
single_source[speed_circulation_20Nm_2000rpm],multiclass,cnn,plain,0,3360,36960,127.9,0.4987824675324675,0.48854517923200963,10.0
single_source[speed_circulation_20Nm_2000rpm],multiclass,cnn,plain,0,3360,36960,127.9,0.24556277056277057,0.17768651115864423,0.0
single_source[speed_circulation_20Nm_3000rpm],multiclass,cnn,plain,0,3360,36960,87.3,0.5719967532467533,0.5694695013293597,
single_source[speed_circulation_20Nm_3000rpm],multiclass,cnn,plain,0,3360,36960,87.3,0.570211038961039,0.562097475776206,20.0
single_source[speed_circulation_20Nm_3000rpm],multiclass,cnn,plain,0,3360,36960,87.3,0.5049242424242424,0.4924952885408045,10.0
single_source[speed_circulation_20Nm_3000rpm],multiclass,cnn,plain,0,3360,36960,87.3,0.21093073593073594,0.14983722379757589,0.0
steady_to_transitional,multiclass,cnn,plain,0,30865,9455,145.6,0.8287678476996299,0.7973660085781762,
steady_to_transitional,multiclass,cnn,plain,0,30865,9455,145.6,0.8168164992067689,0.7786125894779207,20.0
steady_to_transitional,multiclass,cnn,plain,0,30865,9455,145.6,0.4898995240613432,0.45591306299990464,10.0
steady_to_transitional,multiclass,cnn,plain,0,30865,9455,145.6,0.18974087784241142,0.06771690480111558,0.0
