protocol,kind,model,features,seed,n_train,n_test,fit_s,acc,macro_f1
leaky_random,multiclass,rf,plain,0,28224,12096,27.9,0.9747850529100529,0.9753196811523551
leaky_random,multiclass,rf,plain,1,28224,12096,26.9,0.9751157407407407,0.9757028688674926
leaky_random,multiclass,rf,plain,2,28224,12096,26.0,0.9755291005291006,0.9760996837809746
in_condition,multiclass,rf,plain,0,24192,11808,21.8,0.9646849593495935,0.9641085255266387
in_condition,multiclass,rf,plain,1,24192,11808,22.6,0.9651084010840109,0.9646408764477981
in_condition,multiclass,rf,plain,2,24192,11808,22.5,0.9641768292682927,0.9637476540438356
unknown_condition[speed_circulation_20Nm_1000rpm],multiclass,rf,plain,0,36960,3360,35.0,0.9288690476190476,0.9298756008289223
unknown_condition[speed_circulation_20Nm_1000rpm],multiclass,rf,plain,1,36960,3360,37.5,0.930952380952381,0.9315707925653448
unknown_condition[speed_circulation_20Nm_1000rpm],multiclass,rf,plain,2,36960,3360,37.6,0.9282738095238096,0.9290486126593667
unknown_condition[speed_circulation_20Nm_2000rpm],multiclass,rf,plain,0,36960,3360,44.7,0.9482142857142857,0.9455050325706512
unknown_condition[speed_circulation_20Nm_2000rpm],multiclass,rf,plain,1,36960,3360,34.9,0.9452380952380952,0.9435406370848343
unknown_condition[speed_circulation_20Nm_2000rpm],multiclass,rf,plain,2,36960,3360,36.0,0.9479166666666666,0.946522021421386
unknown_condition[speed_circulation_20Nm_3000rpm],multiclass,rf,plain,0,36960,3360,35.4,0.9086309523809524,0.8730869698843181
unknown_condition[speed_circulation_20Nm_3000rpm],multiclass,rf,plain,1,36960,3360,34.4,0.9038690476190476,0.8676652676495541
unknown_condition[speed_circulation_20Nm_3000rpm],multiclass,rf,plain,2,36960,3360,33.9,0.9101190476190476,0.8743623121231474
unknown_condition[speed_circulation_40Nm_1000rpm],multiclass,rf,plain,0,36960,3360,34.5,0.9196428571428571,0.9142526010923806
unknown_condition[speed_circulation_40Nm_1000rpm],multiclass,rf,plain,1,36960,3360,35.3,0.9172619047619047,0.9126200080410989
unknown_condition[speed_circulation_40Nm_1000rpm],multiclass,rf,plain,2,36960,3360,37.4,0.9220238095238096,0.9162556201917519
unknown_condition[speed_circulation_40Nm_2000rpm],multiclass,rf,plain,0,36960,3360,36.7,0.9455357142857143,0.9433845924732092
unknown_condition[speed_circulation_40Nm_2000rpm],multiclass,rf,plain,1,36960,3360,36.8,0.9449404761904762,0.9425411887416356
unknown_condition[speed_circulation_40Nm_2000rpm],multiclass,rf,plain,2,36960,3360,38.7,0.9449404761904762,0.9432838998553993
unknown_condition[speed_circulation_40Nm_3000rpm],multiclass,rf,plain,0,36960,3360,35.8,0.944047619047619,0.9333927452050416
unknown_condition[speed_circulation_40Nm_3000rpm],multiclass,rf,plain,1,36960,3360,34.2,0.944047619047619,0.9331479112756479
unknown_condition[speed_circulation_40Nm_3000rpm],multiclass,rf,plain,2,36960,3360,34.5,0.9449404761904762,0.9340430836618561
unknown_condition[torque_circulation_20Nm_1000rpm],multiclass,rf,plain,0,36960,3360,36.5,0.9589285714285715,0.9556620400969377
unknown_condition[torque_circulation_20Nm_1000rpm],multiclass,rf,plain,1,36960,3360,36.0,0.9598214285714286,0.9575328614762387
unknown_condition[torque_circulation_20Nm_1000rpm],multiclass,rf,plain,2,36960,3360,34.4,0.9577380952380953,0.9559238512549856
unknown_condition[torque_circulation_20Nm_2000rpm],multiclass,rf,plain,0,36960,3360,34.3,0.9610119047619048,0.9608996908645134
unknown_condition[torque_circulation_20Nm_2000rpm],multiclass,rf,plain,1,36960,3360,35.5,0.9645833333333333,0.9645068238081237
unknown_condition[torque_circulation_20Nm_2000rpm],multiclass,rf,plain,2,36960,3360,36.1,0.9645833333333333,0.9642285916823857
unknown_condition[torque_circulation_20Nm_3000rpm],multiclass,rf,plain,0,36960,3360,43.4,0.8851190476190476,0.8577934008326719
unknown_condition[torque_circulation_20Nm_3000rpm],multiclass,rf,plain,1,36960,3360,35.2,0.887797619047619,0.8641785837949607
unknown_condition[torque_circulation_20Nm_3000rpm],multiclass,rf,plain,2,36960,3360,34.2,0.8839285714285714,0.8580337535531296
unknown_condition[torque_circulation_40Nm_1000rpm],multiclass,rf,plain,0,36960,3360,34.9,0.9443452380952381,0.9437417535897402
unknown_condition[torque_circulation_40Nm_1000rpm],multiclass,rf,plain,1,36960,3360,35.6,0.9446428571428571,0.9440836940836941
unknown_condition[torque_circulation_40Nm_1000rpm],multiclass,rf,plain,2,36960,3360,35.3,0.944047619047619,0.9434824434824435
unknown_condition[torque_circulation_40Nm_2000rpm],multiclass,rf,plain,0,36960,3360,36.4,0.9627976190476191,0.9592137340176103
unknown_condition[torque_circulation_40Nm_2000rpm],multiclass,rf,plain,1,36960,3360,35.1,0.9639880952380953,0.9608734415203463
unknown_condition[torque_circulation_40Nm_2000rpm],multiclass,rf,plain,2,36960,3360,35.5,0.9642857142857143,0.9611111111111111
unknown_condition[torque_circulation_40Nm_3000rpm],multiclass,rf,plain,0,36960,3360,34.4,0.9592261904761905,0.953127367458956
unknown_condition[torque_circulation_40Nm_3000rpm],multiclass,rf,plain,1,36960,3360,33.9,0.9592261904761905,0.953127367458956
unknown_condition[torque_circulation_40Nm_3000rpm],multiclass,rf,plain,2,36960,3360,34.5,0.9592261904761905,0.953127367458956
cross_profile[train=torque_circulation],multiclass,rf,plain,0,20160,20160,16.3,0.7351190476190477,0.7432570771705551
cross_profile[train=torque_circulation],multiclass,rf,plain,1,20160,20160,16.7,0.7308531746031746,0.7387130492730352
cross_profile[train=torque_circulation],multiclass,rf,plain,2,20160,20160,17.1,0.7371031746031746,0.744937039473097
cross_profile[train=speed_circulation],multiclass,rf,plain,0,20160,20160,18.3,0.9433035714285715,0.942656412602424
