,bearing_ball_h,bearing_ball_l,bearing_inner_h,bearing_inner_l,bearing_outer_h,bearing_outer_h_and_inner_h,bearing_outer_l,bend,broken_bar,broken_bar_and_bearing_inner_h,broken_bar_and_bearing_outer_h,dynamic_eccentricity,dynamic_eccentricity_and_bearing_inner_h,dynamic_eccentricity_and_bearing_outer_h,health,static_eccentricity_h,static_eccentricity_h_and_bearing_inner_h,static_eccentricity_h_and_bearing_outer_h,static_eccentricity_l,voltage_unbalance_l,winding_h,winding_h_and_bearing_inner_h,winding_h_and_bearing_outer_h,winding_l
bearing_ball_h,488,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
bearing_ball_l,0,485,0,1,0,0,0,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
bearing_inner_h,0,0,443,1,1,0,0,0,0,0,0,1,0,2,1,0,2,0,0,0,0,0,0,0
bearing_inner_l,0,1,0,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
bearing_outer_h,0,0,0,0,527,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0
bearing_outer_h_and_inner_h,0,1,0,2,0,487,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bearing_outer_l,2,0,0,2,0,0,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bend,0,1,0,0,0,0,0,477,4,1,0,3,0,0,0,4,1,0,1,0,0,0,0,0
broken_bar,0,0,0,1,0,0,0,0,486,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0
broken_bar_and_bearing_inner_h,0,0,1,0,0,0,0,0,0,487,3,0,0,0,0,0,1,0,0,0,0,0,0,0
broken_bar_and_bearing_outer_h,0,0,0,0,0,0,0,2,0,2,484,0,0,2,0,0,2,0,0,0,0,0,0,0
dynamic_eccentricity,0,0,0,0,0,0,0,0,0,1,0,484,0,0,0,2,1,0,2,0,0,1,1,0
dynamic_eccentricity_and_bearing_inner_h,0,0,0,0,0,0,0,0,0,2,1,0,484,0,0,0,2,1,1,0,0,1,0,0
dynamic_eccentricity_and_bearing_outer_h,0,0,0,0,0,0,0,0,0,1,1,0,0,487,0,0,2,0,1,0,0,0,0,0
health,0,0,0,1,0,0,0,4,0,0,0,1,0,0,484,1,1,0,0,0,0,0,0,0
static_eccentricity_h,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,469,3,0,13,0,1,0,0,1
static_eccentricity_h_and_bearing_inner_h,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,490,0,0,0,0,0,0,0
static_eccentricity_h_and_bearing_outer_h,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,3,486,0,0,0,0,0,0
static_eccentricity_l,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,2,0,482,0,0,1,0,0
voltage_unbalance_l,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491,0,0,0,0
winding_h,0,0,0,1,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,432,1,1,51
winding_h_and_bearing_inner_h,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,486,0,0
winding_h_and_bearing_outer_h,0,0,0,1,1,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1,483,1
winding_l,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,192,1,2,291
