,bearing_ball_h,bearing_ball_l,bearing_inner_h,bearing_inner_l,bearing_outer_h,bearing_outer_h_and_inner_h,bearing_outer_l,bend,broken_bar,broken_bar_and_bearing_inner_h,broken_bar_and_bearing_outer_h,dynamic_eccentricity,dynamic_eccentricity_and_bearing_inner_h,dynamic_eccentricity_and_bearing_outer_h,health,static_eccentricity_h,static_eccentricity_h_and_bearing_inner_h,static_eccentricity_h_and_bearing_outer_h,static_eccentricity_l,voltage_unbalance_l,winding_h,winding_h_and_bearing_inner_h,winding_h_and_bearing_outer_h,winding_l
bearing_ball_h,543,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
bearing_ball_l,0,518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
bearing_inner_h,0,0,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
bearing_inner_l,0,0,0,496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
bearing_outer_h,2,0,0,0,512,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bearing_outer_h_and_inner_h,0,2,0,2,0,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bearing_outer_l,2,0,0,0,0,0,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bend,0,1,0,0,0,0,0,466,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
broken_bar,0,0,0,0,0,0,0,0,499,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
broken_bar_and_bearing_inner_h,0,0,0,0,0,0,0,0,0,499,4,0,1,0,0,0,1,0,0,0,0,0,0,0
broken_bar_and_bearing_outer_h,0,0,0,0,0,0,0,0,0,0,496,0,0,3,0,0,0,0,0,0,0,1,0,0
dynamic_eccentricity,0,0,0,0,0,0,0,0,1,0,0,508,0,0,0,5,0,0,0,0,0,1,0,1
dynamic_eccentricity_and_bearing_inner_h,0,0,1,0,0,0,0,0,1,0,2,0,509,0,0,0,2,0,0,0,0,1,0,1
dynamic_eccentricity_and_bearing_outer_h,0,0,0,0,0,0,1,0,0,0,1,0,0,499,0,0,1,0,0,0,0,0,0,0
health,2,0,0,0,0,0,0,0,0,1,0,2,0,0,490,0,0,0,0,0,0,0,0,0
static_eccentricity_h,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,506,0,0,11,0,0,1,0,0
static_eccentricity_h_and_bearing_inner_h,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,513,1,0,0,0,0,0,0
static_eccentricity_h_and_bearing_outer_h,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3,493,0,0,0,0,0,0
static_eccentricity_l,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,15,1,0,470,0,0,0,0,0
voltage_unbalance_l,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,479,0,0,1,0
winding_h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,435,0,0,76
winding_h_and_bearing_inner_h,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,492,0,0
winding_h_and_bearing_outer_h,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,502,0
winding_l,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,1,0,423
