,bearing_ball_h,bearing_ball_l,bearing_inner_h,bearing_inner_l,bearing_outer_h,bearing_outer_h_and_inner_h,bearing_outer_l,bend,broken_bar,broken_bar_and_bearing_inner_h,broken_bar_and_bearing_outer_h,dynamic_eccentricity,dynamic_eccentricity_and_bearing_inner_h,dynamic_eccentricity_and_bearing_outer_h,health,static_eccentricity_h,static_eccentricity_h_and_bearing_inner_h,static_eccentricity_h_and_bearing_outer_h,static_eccentricity_l,voltage_unbalance_l,winding_h,winding_h_and_bearing_inner_h,winding_h_and_bearing_outer_h,winding_l
bearing_ball_h,138,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
bearing_ball_l,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
bearing_inner_h,0,0,137,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
bearing_inner_l,0,2,0,137,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bearing_outer_h,1,2,0,0,136,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bearing_outer_h_and_inner_h,0,0,0,0,0,138,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
bearing_outer_l,2,0,0,0,1,0,136,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bend,0,0,0,0,0,0,0,136,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
broken_bar,0,0,0,0,0,0,0,0,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
broken_bar_and_bearing_inner_h,0,0,0,0,0,0,0,0,0,138,2,0,0,0,0,0,0,0,0,0,0,0,0,0
broken_bar_and_bearing_outer_h,0,0,0,0,0,0,0,1,0,0,137,0,0,0,0,0,1,0,1,0,0,0,0,0
dynamic_eccentricity,0,0,0,0,0,0,0,0,0,0,0,137,0,1,0,1,0,0,1,0,0,0,0,0
dynamic_eccentricity_and_bearing_inner_h,0,0,1,0,0,0,0,0,0,1,0,1,135,0,0,0,0,2,0,0,0,0,0,0
dynamic_eccentricity_and_bearing_outer_h,0,0,0,0,0,0,0,0,0,0,1,0,0,135,0,2,1,0,0,0,0,1,0,0
health,0,0,0,0,0,0,0,1,0,0,0,2,0,0,135,0,0,0,0,1,0,1,0,0
static_eccentricity_h,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,101,1,0,33,0,0,0,0,0
static_eccentricity_h_and_bearing_inner_h,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,137,0,0,0,0,0,0,0
static_eccentricity_h_and_bearing_outer_h,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,136,0,0,0,0,0,0
static_eccentricity_l,0,0,0,0,0,0,0,3,0,0,0,3,0,0,1,5,1,0,127,0,0,0,0,0
voltage_unbalance_l,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,1,0
winding_h,0,0,0,0,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,96,0,0,38
winding_h_and_bearing_inner_h,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,136,0,0
winding_h_and_bearing_outer_h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,134,1
winding_l,0,0,0,0,0,0,0,1,2,0,0,1,0,0,2,0,0,0,0,1,110,0,0,23
