component,support_test,f1
bearing_ball_h,492,0.9824198552223371
bearing_ball_l,492,0.9531914893617022
bearing_inner_h,451,0.9876543209876543
bearing_inner_l,492,0.9838709677419355
bearing_outer_h,533,0.9730250481695568
bearing_outer_l,492,0.9886947584789312
bend,492,0.9475935828877006
broken_bar,492,0.9475935828877006
dynamic_eccentricity,492,0.9685534591194969
health,492,0.9685534591194969
static_eccentricity_h,492,0.935064935064935
static_eccentricity_l,492,0.9443254817987152
voltage_unbalance_l,492,0.9938650306748467
winding_h,492,0.7693817468105987
winding_l,492,0.6483660130718955
