view,combination,component,modality,detection_rate
vibration,bearing_outer_h_and_inner_h,bearing_inner_h,mechanical,0.02619047619047619
vibration,bearing_outer_h_and_inner_h,bearing_outer_h,mechanical,0.0
vibration,broken_bar_and_bearing_inner_h,bearing_inner_h,mechanical,0.21428571428571427
vibration,broken_bar_and_bearing_inner_h,broken_bar,electrical,0.0
vibration,broken_bar_and_bearing_outer_h,bearing_outer_h,mechanical,0.0
vibration,broken_bar_and_bearing_outer_h,broken_bar,electrical,0.0
vibration,dynamic_eccentricity_and_bearing_inner_h,bearing_inner_h,mechanical,0.35595238095238096
vibration,dynamic_eccentricity_and_bearing_inner_h,dynamic_eccentricity,electrical,0.0
vibration,dynamic_eccentricity_and_bearing_outer_h,bearing_outer_h,mechanical,0.0017857142857142857
vibration,dynamic_eccentricity_and_bearing_outer_h,dynamic_eccentricity,electrical,0.0
vibration,static_eccentricity_h_and_bearing_inner_h,bearing_inner_h,mechanical,0.06190476190476191
vibration,static_eccentricity_h_and_bearing_inner_h,static_eccentricity_h,electrical,0.0
vibration,static_eccentricity_h_and_bearing_outer_h,bearing_outer_h,mechanical,0.22023809523809523
vibration,static_eccentricity_h_and_bearing_outer_h,static_eccentricity_h,electrical,0.0
vibration,winding_h_and_bearing_inner_h,bearing_inner_h,mechanical,0.12261904761904761
vibration,winding_h_and_bearing_inner_h,winding_h,electrical,0.0
vibration,winding_h_and_bearing_outer_h,bearing_outer_h,mechanical,0.0
vibration,winding_h_and_bearing_outer_h,winding_h,electrical,0.0
current,bearing_outer_h_and_inner_h,bearing_inner_h,mechanical,0.0
current,bearing_outer_h_and_inner_h,bearing_outer_h,mechanical,0.0
current,broken_bar_and_bearing_inner_h,bearing_inner_h,mechanical,0.0
current,broken_bar_and_bearing_inner_h,broken_bar,electrical,0.019642857142857142
current,broken_bar_and_bearing_outer_h,bearing_outer_h,mechanical,0.0
current,broken_bar_and_bearing_outer_h,broken_bar,electrical,0.10297619047619047
current,dynamic_eccentricity_and_bearing_inner_h,bearing_inner_h,mechanical,0.0
current,dynamic_eccentricity_and_bearing_inner_h,dynamic_eccentricity,electrical,0.0
current,dynamic_eccentricity_and_bearing_outer_h,bearing_outer_h,mechanical,0.0
current,dynamic_eccentricity_and_bearing_outer_h,dynamic_eccentricity,electrical,0.0017857142857142857
current,static_eccentricity_h_and_bearing_inner_h,bearing_inner_h,mechanical,0.0
current,static_eccentricity_h_and_bearing_inner_h,static_eccentricity_h,electrical,0.0
current,static_eccentricity_h_and_bearing_outer_h,bearing_outer_h,mechanical,0.0
current,static_eccentricity_h_and_bearing_outer_h,static_eccentricity_h,electrical,0.005357142857142857
current,winding_h_and_bearing_inner_h,bearing_inner_h,mechanical,0.0
current,winding_h_and_bearing_inner_h,winding_h,electrical,0.34285714285714286
current,winding_h_and_bearing_outer_h,bearing_outer_h,mechanical,0.0
current,winding_h_and_bearing_outer_h,winding_h,electrical,0.39285714285714285
