view,combination,component,modality,detection_rate
both,bearing_outer_h_and_inner_h,bearing_inner_h,mechanical,0.026785714285714284
both,bearing_outer_h_and_inner_h,bearing_outer_h,mechanical,0.0
both,broken_bar_and_bearing_inner_h,bearing_inner_h,mechanical,0.1976190476190476
both,broken_bar_and_bearing_inner_h,broken_bar,electrical,0.0
both,broken_bar_and_bearing_outer_h,bearing_outer_h,mechanical,0.0
both,broken_bar_and_bearing_outer_h,broken_bar,electrical,0.0
both,dynamic_eccentricity_and_bearing_inner_h,bearing_inner_h,mechanical,0.2130952380952381
both,dynamic_eccentricity_and_bearing_inner_h,dynamic_eccentricity,electrical,0.0
both,dynamic_eccentricity_and_bearing_outer_h,bearing_outer_h,mechanical,0.0005952380952380953
both,dynamic_eccentricity_and_bearing_outer_h,dynamic_eccentricity,electrical,0.0
both,static_eccentricity_h_and_bearing_inner_h,bearing_inner_h,mechanical,0.027976190476190477
both,static_eccentricity_h_and_bearing_inner_h,static_eccentricity_h,electrical,0.0
both,static_eccentricity_h_and_bearing_outer_h,bearing_outer_h,mechanical,0.2392857142857143
both,static_eccentricity_h_and_bearing_outer_h,static_eccentricity_h,electrical,0.0
both,winding_h_and_bearing_inner_h,bearing_inner_h,mechanical,0.016666666666666666
both,winding_h_and_bearing_inner_h,winding_h,electrical,0.0
both,winding_h_and_bearing_outer_h,bearing_outer_h,mechanical,0.0
both,winding_h_and_bearing_outer_h,winding_h,electrical,0.0017857142857142857
