model,exact,micro_f1,macro_f1,any_component_found,mean_component_recall,all_zero_prediction_rate,topk_exact,topk_recall,top1_in_truth,protocol,seed
shared (both),0.0,0.071590474228018,0.0174311677874391,0.0804232804232804,0.0402116402116402,0.7604497354497355,0.0156746031746031,0.3291005291005291,0.3356481481481481,compositional_zeroshot,0
vibration only,0.0,0.0899530215673713,0.0225576957575888,0.1114417989417989,0.0557208994708994,0.558994708994709,0.0058862433862433,0.2216600529100529,0.2191137566137566,compositional_zeroshot,0
current only,0.0,0.0871102057933678,0.0437260854588707,0.0961640211640211,0.0480820105820105,0.7943783068783069,0.004563492063492,0.2144179894179894,0.2369708994708994,compositional_zeroshot,0
late fusion (union),0.0078042328042328,0.1548708587216617,0.0658210423368515,0.1998015873015873,0.10380291005291,0.4152116402116402,0.0325396825396825,0.2649140211640212,0.2911375661375661,compositional_zeroshot,0
shared (both),0.0,0.1378289252305,0.0346200049395897,0.2031746031746031,0.1015873015873015,0.1378968253968254,0.0021825396825396,0.3912698412698412,0.1906746031746031,leave_combination_out[fold0],0
vibration only,0.0,0.1676762114537445,0.0522286976773886,0.2416666666666666,0.1208333333333333,0.2692460317460317,0.0041666666666666,0.3665674603174603,0.3011904761904762,leave_combination_out[fold0],0
current only,0.0,0.0430807103921223,0.0109426917524688,0.0486111111111111,0.0243055555555555,0.7732142857142857,0.0313492063492063,0.3130952380952381,0.1978174603174603,leave_combination_out[fold0],0
late fusion (union),0.0015873015873015,0.1785714285714285,0.0572965971706593,0.2575396825396825,0.1369047619047619,0.2138888888888888,0.0168650793650793,0.3434523809523809,0.2323412698412698,leave_combination_out[fold0],0
shared (both),0.0001984126984126,0.1395285646355546,0.0347992235429185,0.2035714285714285,0.1018849206349206,0.1722222222222222,0.0019841269841269,0.3824404761904761,0.201984126984127,leave_combination_out[fold0],1
vibration only,0.0,0.185128170805167,0.0536561240790925,0.2744047619047619,0.1372023809523809,0.2053571428571428,0.002579365079365,0.3646825396825396,0.2200396825396825,leave_combination_out[fold0],1
current only,0.0003968253968253,0.0485837060422695,0.011824225119272,0.054563492063492,0.0274801587301587,0.7692460317460318,0.0347222222222222,0.3125992063492063,0.2017857142857143,leave_combination_out[fold0],1
late fusion (union),0.0021825396825396,0.1964729101674412,0.0589509637205763,0.2869047619047619,0.1530753968253968,0.1817460317460317,0.0138888888888888,0.3465277777777777,0.1924603174603174,leave_combination_out[fold0],1
shared (both),0.0,0.1346345349531965,0.0344560337707299,0.2011904761904762,0.1005952380952381,0.1375,0.002579365079365,0.3804563492063492,0.1869047619047619,leave_combination_out[fold0],2
vibration only,0.0,0.1800634584875727,0.0552824707176848,0.2702380952380952,0.1351190476190476,0.1519841269841269,0.0031746031746031,0.3557539682539682,0.2438492063492063,leave_combination_out[fold0],2
current only,0.0003968253968253,0.0475230162209557,0.0116048195868025,0.0533730158730158,0.0268849206349206,0.7666666666666667,0.0319444444444444,0.3076388888888889,0.201984126984127,leave_combination_out[fold0],2
late fusion (union),0.0019841269841269,0.1901102362204724,0.060173842376624,0.2807539682539682,0.1497023809523809,0.125,0.0132936507936507,0.339484126984127,0.2130952380952381,leave_combination_out[fold0],2
shared (both),0.0101190476190476,0.274906841032131,0.1004231391870735,0.3777777777777777,0.1939484126984127,0.4035714285714286,0.0519841269841269,0.522420634920635,0.3611111111111111,leave_combination_out[fold1],0
vibration only,0.0,0.2085265519820493,0.0686000967073886,0.2765873015873016,0.1382936507936508,0.4773809523809524,0.0109126984126984,0.4447420634920634,0.3047619047619048,leave_combination_out[fold1],0
current only,0.0009920634920634,0.2654950572728699,0.0874717502386257,0.3345238095238095,0.1678571428571428,0.5946428571428571,0.0242063492063492,0.4115079365079365,0.533531746031746,leave_combination_out[fold1],0
late fusion (union),0.0287698412698412,0.3796497507350121,0.138182320485101,0.533531746031746,0.2946428571428571,0.2567460317460317,0.0753968253968253,0.4946428571428571,0.4873015873015873,leave_combination_out[fold1],0
shared (both),0.0059523809523809,0.2886150399103767,0.1072773957055776,0.4029761904761905,0.2044642857142857,0.3849206349206349,0.0543650793650793,0.5245039682539683,0.3970238095238095,leave_combination_out[fold1],1
vibration only,0.0,0.2182495344506517,0.0703387835099547,0.2906746031746032,0.1453373015873016,0.4873015873015873,0.0126984126984126,0.4495039682539682,0.2755952380952381,leave_combination_out[fold1],1
current only,0.000595238095238,0.2630335485903292,0.0866666022965535,0.3307539682539682,0.1656746031746031,0.6039682539682539,0.0244047619047619,0.4151785714285714,0.530952380952381,leave_combination_out[fold1],1
late fusion (union),0.0317460317460317,0.3856559469116896,0.1393334216595462,0.540079365079365,0.2998015873015873,0.2708333333333333,0.0811507936507936,0.501984126984127,0.4734126984126984,leave_combination_out[fold1],1
shared (both),0.0023809523809523,0.252871952927991,0.0942858330304315,0.3557539682539682,0.1790674603174603,0.3767857142857143,0.027579365079365,0.5093253968253968,0.3738095238095238,leave_combination_out[fold1],2
vibration only,0.0,0.1852359208523592,0.0560977121005447,0.2414682539682539,0.1207341269841269,0.5041666666666667,0.0188492063492063,0.4419642857142857,0.2759920634920635,leave_combination_out[fold1],2
current only,0.0007936507936507,0.2658714588401475,0.0875515271221688,0.3353174603174603,0.1680555555555555,0.6003968253968254,0.0248015873015873,0.4143849206349206,0.5291666666666667,leave_combination_out[fold1],2
late fusion (union),0.0265873015873015,0.3637305028800724,0.128717657157768,0.5015873015873016,0.2787698412698413,0.2839285714285714,0.0823412698412698,0.4905753968253968,0.4666666666666667,leave_combination_out[fold1],2
shared (both),0.0001984126984126,0.2575691366502278,0.0964183012424351,0.4087301587301587,0.2046626984126984,0.1863095238095238,0.0208333333333333,0.3978174603174603,0.3436507936507936,leave_combination_out[fold2],0
vibration only,0.0,0.1747660535656663,0.060832890735863,0.2686507936507936,0.1343253968253968,0.2113095238095238,0.0194444444444444,0.3904761904761905,0.1486111111111111,leave_combination_out[fold2],0
current only,0.0,0.2633430646006438,0.092123428675891,0.3490079365079365,0.1745039682539682,0.5073412698412698,0.0053571428571428,0.3758928571428571,0.4277777777777777,leave_combination_out[fold2],0
late fusion (union),0.0003968253968253,0.3292190305206463,0.131234820041963,0.5625,0.2910714285714286,0.0861111111111111,0.0069444444444444,0.3919642857142857,0.2825396825396825,leave_combination_out[fold2],0
shared (both),0.0,0.2363670435380098,0.0914414917875981,0.3753968253968254,0.1876984126984127,0.1914682539682539,0.0204365079365079,0.3964285714285714,0.2573412698412698,leave_combination_out[fold2],1
vibration only,0.0,0.1504224988711862,0.0531069712088532,0.2313492063492063,0.1156746031746031,0.1890873015873015,0.0001984126984126,0.3579365079365079,0.1398809523809523,leave_combination_out[fold2],1
current only,0.0,0.2615246904371177,0.0918530278921807,0.3478174603174603,0.1739087301587301,0.4992063492063492,0.0037698412698412,0.3711309523809524,0.4301587301587302,leave_combination_out[fold2],1
late fusion (union),0.0,0.308760923145866,0.1254312364333362,0.5293650793650794,0.2734126984126984,0.0751984126984127,0.0017857142857142,0.3632936507936508,0.2765873015873016,leave_combination_out[fold2],1
shared (both),0.0,0.2635122380922419,0.0980016598842496,0.4154761904761905,0.2077380952380952,0.1948412698412698,0.0091269841269841,0.4032738095238095,0.3446428571428571,leave_combination_out[fold2],2
vibration only,0.0,0.1655216284987277,0.0600661593387513,0.2579365079365079,0.1290674603174603,0.1994047619047619,0.0257936507936507,0.3767857142857143,0.139484126984127,leave_combination_out[fold2],2
current only,0.0,0.2632167623592573,0.0920507753399843,0.3501984126984127,0.1750992063492063,0.498015873015873,0.0043650793650793,0.3728174603174603,0.4277777777777777,leave_combination_out[fold2],2
late fusion (union),0.0,0.3173896096664625,0.1266687887676406,0.5488095238095239,0.2827380952380952,0.0898809523809523,0.0144841269841269,0.3724206349206349,0.2869047619047619,leave_combination_out[fold2],2
shared (both),0.0,0.0525490196078431,0.012769140146479,0.0576058201058201,0.02880291005291,0.8107142857142857,0.0143518518518518,0.3126322751322751,0.337037037037037,compositional_zeroshot,1
vibration only,0.0,0.0913433776051236,0.0237674943066085,0.115079365079365,0.0575396825396825,0.5221560846560847,0.0056216931216931,0.2264550264550264,0.2175925925925926,compositional_zeroshot,1
current only,0.0,0.0856124374681724,0.0430849106813292,0.094510582010582,0.047255291005291,0.7937169312169312,0.0042989417989417,0.2157738095238095,0.2408068783068783,compositional_zeroshot,1
late fusion (union),0.0080026455026455,0.1539059274908331,0.0663897127282462,0.2015873015873016,0.1047949735449735,0.3837301587301587,0.0330026455026455,0.2650793650793651,0.283531746031746,compositional_zeroshot,1
shared (both),0.0,0.0599557848194546,0.0143564590341086,0.0672619047619047,0.0336309523809523,0.7607804232804233,0.015079365079365,0.338558201058201,0.3254629629629629,compositional_zeroshot,2
vibration only,0.0,0.0974471877129527,0.0247372121967188,0.1229497354497354,0.0614748677248677,0.5257936507936508,0.0066798941798941,0.2305886243386243,0.2130291005291005,compositional_zeroshot,2
current only,0.0,0.0846805697457779,0.0427962865112997,0.0931878306878307,0.0465939153439153,0.8004629629629629,0.0042328042328042,0.2157407407407407,0.2381613756613756,compositional_zeroshot,2
late fusion (union),0.0082671957671957,0.1591313028023275,0.0671574963848124,0.2078703703703703,0.108068783068783,0.3893518518518518,0.032010582010582,0.2614087301587302,0.2884259259259259,compositional_zeroshot,2
