arm,exact,micro_f1,macro_f1,any_component_found,mean_component_recall,all_zero_prediction_rate,topk_exact,topk_recall,top1_in_truth,protocol,seed,n_train,n_test
shared[nomix],0.0,0.374057500153252,0.0768376072151172,0.6047619047619047,0.3026785714285714,0.09087301587301587,0.011111111111111112,0.4316468253968254,0.48908730158730157,leave_combination_out[fold0],0,35280,5040
vibration[nomix],0.0003968253968253968,0.31881454872025144,0.09503826379488803,0.4926587301587302,0.2465277777777778,0.2702380952380952,0.028174603174603175,0.37003968253968256,0.4656746031746032,leave_combination_out[fold0],0,35280,5040
current[nomix],0.0,0.14213727193744569,0.0227696590118302,0.1623015873015873,0.08115079365079365,0.7162698412698413,0.012896825396825396,0.4936507936507937,0.6478174603174603,leave_combination_out[fold0],0,35280,5040
late_fusion[nomix],0.0003968253968253968,0.3811830235514924,0.10735545303816713,0.623015873015873,0.3123015873015873,0.17976190476190476,0.01746031746031746,0.4576388888888889,0.6071428571428571,leave_combination_out[fold0],0,35280,5040
shared[mix],0.13055555555555556,0.48581019224900823,0.12884116348827698,0.7507936507936508,0.4738095238095238,0.008531746031746031,0.23412698412698413,0.5112103174603174,0.5047619047619047,leave_combination_out[fold0],0,35280,5040
vibration[mix],0.006150793650793651,0.3864818973544394,0.1280811134336174,0.6428571428571429,0.35,0.2003968253968254,0.07003968253968254,0.4459325396825397,0.42936507936507934,leave_combination_out[fold0],0,35280,5040
current[mix],0.0,0.32602535421327367,0.043580542264752796,0.43373015873015874,0.21686507936507937,0.3392857142857143,0.004166666666666667,0.5013888888888889,0.6613095238095238,leave_combination_out[fold0],0,35280,5040
late_fusion[mix],0.03432539682539683,0.5135591536704083,0.1522290582015551,0.8265873015873015,0.5128968253968254,0.07559523809523809,0.05773809523809524,0.4683531746031746,0.5081349206349206,leave_combination_out[fold0],0,35280,5040
shared[nomix],0.0,0.43221228016044433,0.08943710008864603,0.6946428571428571,0.3474206349206349,0.12301587301587301,0.03630952380952381,0.4511904761904762,0.5902777777777778,leave_combination_out[fold0],1,35280,5040
vibration[nomix],0.0003968253968253968,0.37553983851786943,0.11678321952842324,0.5948412698412698,0.2976190476190476,0.3055555555555556,0.03432539682539683,0.4630952380952381,0.5091269841269841,leave_combination_out[fold0],1,35280,5040
current[nomix],0.0,0.4601191840476736,0.08148671060923414,0.7966269841269841,0.39831349206349204,0.10634920634920635,0.0,0.4911706349206349,0.6390873015873015,leave_combination_out[fold0],1,35280,5040
late_fusion[nomix],0.0125,0.5416159945517341,0.13567733898738704,0.95,0.5522817460317461,0.03670634920634921,0.027777777777777776,0.5086309523809524,0.6718253968253968,leave_combination_out[fold0],1,35280,5040
shared[mix],0.040674603174603176,0.3966951314184318,0.09406273777383321,0.6490079365079365,0.3548611111111111,0.05654761904761905,0.26607142857142857,0.4973214285714286,0.528968253968254,leave_combination_out[fold0],1,35280,5040
vibration[mix],0.004365079365079365,0.3299192543217905,0.10956985104309723,0.5555555555555556,0.30198412698412697,0.1359126984126984,0.03134920634920635,0.3070436507936508,0.2974206349206349,leave_combination_out[fold0],1,35280,5040
current[mix],0.0,0.3720071047957371,0.04749852587653649,0.5194444444444445,0.25972222222222224,0.20753968253968255,0.00753968253968254,0.4998015873015873,0.6531746031746032,leave_combination_out[fold0],1,35280,5040
late_fusion[mix],0.000992063492063492,0.47356743198919543,0.13484723650383473,0.8555555555555555,0.48700396825396824,0.03511904761904762,0.017857142857142856,0.4205357142857143,0.41309523809523807,leave_combination_out[fold0],1,35280,5040
shared[nomix],0.0,0.4063617309826162,0.12956624529930416,0.653968253968254,0.326984126984127,0.1757936507936508,0.007936507936507936,0.4603174603174603,0.6180555555555556,leave_combination_out[fold1],0,35280,5040
vibration[nomix],0.0,0.4118953603158934,0.11521638835670596,0.6623015873015873,0.33115079365079364,0.20853174603174604,0.09662698412698413,0.5220238095238096,0.5922619047619048,leave_combination_out[fold1],0,35280,5040
current[nomix],0.0,0.1919700910273082,0.04104175642227797,0.23432539682539683,0.11716269841269841,0.6734126984126985,0.0,0.21359126984126983,0.31607142857142856,leave_combination_out[fold1],0,35280,5040
late_fusion[nomix],0.025992063492063493,0.4551018137309447,0.12094801368433668,0.7458333333333333,0.40575396825396826,0.1619047619047619,0.07658730158730159,0.46170634920634923,0.564484126984127,leave_combination_out[fold1],0,35280,5040
shared[mix],0.002976190476190476,0.3349806047080079,0.12375039941900493,0.5448412698412698,0.3126984126984127,0.04206349206349207,0.015674603174603174,0.34771825396825395,0.3117063492063492,leave_combination_out[fold1],0,35280,5040
vibration[mix],0.02023809523809524,0.43268507574943593,0.14993063015989494,0.7509920634920635,0.3995039682539683,0.05099206349206349,0.14107142857142857,0.4951388888888889,0.41349206349206347,leave_combination_out[fold1],0,35280,5040
current[mix],0.0,0.28928059374209325,0.06282977330260518,0.3402777777777778,0.1701388888888889,0.6476190476190476,0.0005952380952380953,0.47728174603174606,0.6021825396825397,leave_combination_out[fold1],0,35280,5040
late_fusion[mix],0.05138888888888889,0.5310757172285585,0.18111202969452853,0.8535714285714285,0.5243055555555556,0.03988095238095238,0.16567460317460317,0.5324404761904762,0.42162698412698413,leave_combination_out[fold1],0,35280,5040
