family,harmonic,half_width,n_faulty,n_healthy,auroc
BPFO,1,0.06,25,12,1.0
BPFO,1,0.12,25,12,1.0
BPFO,1,0.25,25,12,1.0
BPFO,1,0.5,25,12,1.0
BPFO,2,0.06,25,12,0.8633333333333333
BPFO,2,0.12,25,12,0.8766666666666667
BPFO,2,0.25,25,12,0.5733333333333334
BPFO,2,0.5,25,12,0.49666666666666665
BPFI,1,0.06,23,12,0.6521739130434783
BPFI,1,0.12,23,12,0.6485507246376812
BPFI,1,0.25,23,12,0.6485507246376812
BPFI,1,0.5,23,12,0.6195652173913043
BPFI,2,0.06,23,12,0.21739130434782608
BPFI,2,0.12,23,12,0.41304347826086957
BPFI,2,0.25,23,12,0.38768115942028986
BPFI,2,0.5,23,12,0.3333333333333333
BSF,1,0.06,24,12,0.6909722222222222
BSF,1,0.12,24,12,0.75
BSF,1,0.25,24,12,0.7673611111111112
BSF,1,0.5,24,12,0.6388888888888888
BSF,2,0.06,24,12,0.71875
BSF,2,0.12,24,12,0.6354166666666666
BSF,2,0.25,24,12,0.625
BSF,2,0.5,24,12,0.5347222222222222
