protocol,kind,model,features,seed,n_train,n_test,fit_s,acc,macro_f1,noise_snr_db
leaky_random,multiclass,cnn,plain,0,28224,12096,187.5,0.9389880952380952,0.9390358940792641,
leaky_random,multiclass,cnn,plain,0,28224,12096,187.5,0.9245205026455027,0.9262802178424593,20.0
leaky_random,multiclass,cnn,plain,0,28224,12096,187.5,0.6746031746031746,0.6837789645055222,10.0
leaky_random,multiclass,cnn,plain,0,28224,12096,187.5,0.1982473544973545,0.15420652648270697,0.0
in_condition,multiclass,cnn,plain,0,24192,11808,127.8,0.9130250677506775,0.9111359676511119,
in_condition,multiclass,cnn,plain,0,24192,11808,127.8,0.9004911924119241,0.9004019147401282,20.0
in_condition,multiclass,cnn,plain,0,24192,11808,127.8,0.7029132791327913,0.708752601222908,10.0
in_condition,multiclass,cnn,plain,0,24192,11808,127.8,0.21891937669376693,0.15911968173347774,0.0
unknown_condition[speed_circulation_20Nm_1000rpm],multiclass,cnn,plain,0,36960,3360,161.7,0.8247023809523809,0.7993723096836657,
unknown_condition[speed_circulation_20Nm_1000rpm],multiclass,cnn,plain,0,36960,3360,161.7,0.6717261904761904,0.6614578365584853,20.0
unknown_condition[speed_circulation_20Nm_1000rpm],multiclass,cnn,plain,0,36960,3360,161.7,0.27976190476190477,0.21845910119512038,10.0
unknown_condition[speed_circulation_20Nm_1000rpm],multiclass,cnn,plain,0,36960,3360,161.7,0.04196428571428571,0.005564009443212503,0.0
unknown_condition[speed_circulation_20Nm_2000rpm],multiclass,cnn,plain,0,36960,3360,161.3,0.9086309523809524,0.9091783165952293,
unknown_condition[speed_circulation_20Nm_2000rpm],multiclass,cnn,plain,0,36960,3360,161.3,0.8976190476190476,0.8902888968789394,20.0
unknown_condition[speed_circulation_20Nm_2000rpm],multiclass,cnn,plain,0,36960,3360,161.3,0.6815476190476191,0.6575581998853418,10.0
unknown_condition[speed_circulation_20Nm_2000rpm],multiclass,cnn,plain,0,36960,3360,161.3,0.19672619047619047,0.17270350749007413,0.0
unknown_condition[speed_circulation_20Nm_3000rpm],multiclass,cnn,plain,0,36960,3360,165.1,0.9169642857142857,0.8733978827024659,
unknown_condition[speed_circulation_20Nm_3000rpm],multiclass,cnn,plain,0,36960,3360,165.1,0.8973214285714286,0.8513306255647718,20.0
unknown_condition[speed_circulation_20Nm_3000rpm],multiclass,cnn,plain,0,36960,3360,165.1,0.7410714285714286,0.7034877490685818,10.0
unknown_condition[speed_circulation_20Nm_3000rpm],multiclass,cnn,plain,0,36960,3360,165.1,0.23660714285714285,0.15762805893827017,0.0
cross_profile[train=torque_circulation],multiclass,cnn,plain,0,20160,20160,168.0,0.7145337301587301,0.7215654801029651,
cross_profile[train=torque_circulation],multiclass,cnn,plain,0,20160,20160,168.0,0.7106646825396825,0.7200516673289998,20.0
cross_profile[train=torque_circulation],multiclass,cnn,plain,0,20160,20160,168.0,0.5548115079365079,0.568490258857929,10.0
cross_profile[train=torque_circulation],multiclass,cnn,plain,0,20160,20160,168.0,0.233234126984127,0.19253111965764336,0.0
cross_profile[train=speed_circulation],multiclass,cnn,plain,0,20160,20160,157.3,0.9046626984126984,0.9011282840561722,
cross_profile[train=speed_circulation],multiclass,cnn,plain,0,20160,20160,157.3,0.9092757936507937,0.9093794466872138,20.0
cross_profile[train=speed_circulation],multiclass,cnn,plain,0,20160,20160,157.3,0.694593253968254,0.6753420513085443,10.0
cross_profile[train=speed_circulation],multiclass,cnn,plain,0,20160,20160,157.3,0.23139880952380953,0.1729844349137696,0.0
single_source[speed_circulation_20Nm_1000rpm],multiclass,cnn,plain,0,3360,36960,181.5,0.36339285714285713,0.35224067625198163,
single_source[speed_circulation_20Nm_1000rpm],multiclass,cnn,plain,0,3360,36960,181.5,0.36436688311688314,0.35383139704124855,20.0
single_source[speed_circulation_20Nm_1000rpm],multiclass,cnn,plain,0,3360,36960,181.5,0.35373376623376623,0.34275869356852784,10.0
single_source[speed_circulation_20Nm_1000rpm],multiclass,cnn,plain,0,3360,36960,181.5,0.206737012987013,0.13858702400684095,0.0
