protocol,kind,model,features,seed,n_train,n_test,fit_s,acc,macro_f1,micro_f1,hamming,any_component_found,mean_component_recall,all_zero_prediction_rate,topk_exact,topk_recall,top1_in_truth
compositional_control,multilabel,rf,plain,0,15120,7380,108.3,0.8998644986449864,0.9329958146600317,0.9357811071252725,0.9917524841915086,0.9013550135501355,0.9013550135501355,0.07506775067750678,0.9025745257452574,0.9025745257452574,0.9025745257452574
compositional_control,multilabel,rf,plain,1,15120,7380,102.0,0.8991869918699187,0.9328102487598334,0.936122262131136,0.991806684733514,0.9005420054200542,0.9005420054200542,0.07737127371273712,0.9014905149051491,0.9014905149051491,0.9014905149051491
leave_combination_out[fold0],multilabel,rf,plain,0,35280,5040,301.1,0.0,0.03462000493958974,0.13782892523050003,0.8305423280423281,0.20317460317460317,0.10158730158730159,0.1378968253968254,0.0,0.10128968253968254,0.1628968253968254
leave_combination_out[fold0],multilabel,rf,plain,1,35280,5040,303.8,0.0001984126984126984,0.03479922354291852,0.13952856463555466,0.8324470899470899,0.20357142857142857,0.10188492063492063,0.17222222222222222,0.0001984126984126984,0.10148809523809524,0.1619047619047619
leave_combination_out[fold1],multilabel,rf,plain,0,35280,5040,290.9,0.01011904761904762,0.10042313918707357,0.27490684103213103,0.8635846560846561,0.37777777777777777,0.1939484126984127,0.4035714285714286,0.01011904761904762,0.1939484126984127,0.19186507936507938
leave_combination_out[fold1],multilabel,rf,plain,1,35280,5040,301.4,0.005952380952380952,0.10727739570557764,0.2886150399103767,0.8656084656084656,0.4029761904761905,0.2044642857142857,0.38492063492063494,0.005952380952380952,0.2044642857142857,0.2248015873015873
leave_combination_out[fold2],multilabel,rf,plain,0,35280,5040,285.3,0.0001984126984126984,0.09641830124243514,0.25756913665022785,0.8426851851851852,0.4087301587301587,0.2046626984126984,0.1863095238095238,0.0001984126984126984,0.2044642857142857,0.14047619047619048
leave_combination_out[fold2],multilabel,rf,plain,1,35280,5040,291.5,0.0,0.09144149178759813,0.23636704353800986,0.8382936507936508,0.3753968253968254,0.1876984126984127,0.19146825396825398,0.0,0.18759920634920635,0.10734126984126983
compositional_zeroshot,multilabel,rf,plain,0,25200,15120,189.0,0.0,0.017431167787439174,0.07159047422801802,0.8609391534391534,0.08042328042328042,0.04021164021164021,0.7604497354497355,0.0,0.04021164021164021,0.07321428571428572
compositional_zeroshot,multilabel,rf,plain,1,25200,15120,180.6,0.0,0.012769140146479018,0.05254901960784314,0.8615167548500882,0.057605820105820105,0.028802910052910052,0.8107142857142857,0.0,0.028802910052910052,0.054431216931216934
