protocol,kind,model,features,seed,n_train,n_test,fit_s,acc,macro_f1
leaky_random,multiclass,svm,plain,0,28224,12096,96.8,0.9637896825396826,0.9647459375830669
in_condition,multiclass,svm,plain,0,24192,11808,56.0,0.9545223577235772,0.9543761114224539
unknown_condition[speed_circulation_20Nm_1000rpm],multiclass,svm,plain,0,36960,3360,158.4,0.9369047619047619,0.9363402672989372
unknown_condition[speed_circulation_20Nm_2000rpm],multiclass,svm,plain,0,36960,3360,112.8,0.9583333333333334,0.9577530314659292
unknown_condition[speed_circulation_20Nm_3000rpm],multiclass,svm,plain,0,36960,3360,108.0,0.9119047619047619,0.879520744010997
unknown_condition[speed_circulation_40Nm_1000rpm],multiclass,svm,plain,0,36960,3360,151.1,0.9318452380952381,0.9314979560377671
unknown_condition[speed_circulation_40Nm_2000rpm],multiclass,svm,plain,0,36960,3360,109.7,0.9467261904761904,0.9463058886018811
unknown_condition[speed_circulation_40Nm_3000rpm],multiclass,svm,plain,0,36960,3360,69.5,0.9139880952380952,0.9127953822093247
unknown_condition[torque_circulation_20Nm_1000rpm],multiclass,svm,plain,0,36960,3360,86.4,0.9851190476190477,0.9846288976723759
unknown_condition[torque_circulation_20Nm_2000rpm],multiclass,svm,plain,0,36960,3360,134.1,0.9413690476190476,0.9401941321260471
unknown_condition[torque_circulation_20Nm_3000rpm],multiclass,svm,plain,0,36960,3360,111.3,0.9139880952380952,0.8963256592197245
unknown_condition[torque_circulation_40Nm_1000rpm],multiclass,svm,plain,0,36960,3360,85.0,0.9877976190476191,0.9877787571805126
unknown_condition[torque_circulation_40Nm_2000rpm],multiclass,svm,plain,0,36960,3360,91.6,0.9773809523809524,0.9768603093411278
unknown_condition[torque_circulation_40Nm_3000rpm],multiclass,svm,plain,0,36960,3360,97.9,0.9633928571428572,0.9579172715142451
cross_profile[train=torque_circulation],multiclass,svm,plain,0,20160,20160,23.1,0.7928571428571428,0.8103352097677613
cross_profile[train=speed_circulation],multiclass,svm,plain,0,20160,20160,37.9,0.9547619047619048,0.9546396310965729
single_source[speed_circulation_20Nm_1000rpm],multiclass,svm,plain,0,3360,36960,4.5,0.21623376623376622,0.2731061371552725
single_source[speed_circulation_20Nm_2000rpm],multiclass,svm,plain,0,3360,36960,6.6,0.6542478354978355,0.6854782745811283
single_source[speed_circulation_20Nm_3000rpm],multiclass,svm,plain,0,3360,36960,6.5,0.7673160173160173,0.7672343706737879
single_source[speed_circulation_40Nm_1000rpm],multiclass,svm,plain,0,3360,36960,8.5,0.23847402597402598,0.2904148845030088
single_source[speed_circulation_40Nm_2000rpm],multiclass,svm,plain,0,3360,36960,10.9,0.3855790043290043,0.4411456789936854
single_source[speed_circulation_40Nm_3000rpm],multiclass,svm,plain,0,3360,36960,15.5,0.6865530303030303,0.7048486031848199
single_source[torque_circulation_20Nm_1000rpm],multiclass,svm,plain,0,3360,36960,1.6,0.16907467532467532,0.22085545439893806
single_source[torque_circulation_20Nm_2000rpm],multiclass,svm,plain,0,3360,36960,1.5,0.25027056277056275,0.29924328077188106
single_source[torque_circulation_20Nm_3000rpm],multiclass,svm,plain,0,3360,36960,1.6,0.23179112554112555,0.27388095608117285
single_source[torque_circulation_40Nm_1000rpm],multiclass,svm,plain,0,3360,36960,1.9,0.2479978354978355,0.31648577924548665
single_source[torque_circulation_40Nm_2000rpm],multiclass,svm,plain,0,3360,36960,1.8,0.2839556277056277,0.34598203153482426
single_source[torque_circulation_40Nm_3000rpm],multiclass,svm,plain,0,3360,36960,3.6,0.2519751082251082,0.3002952183003597
steady_to_transitional,multiclass,svm,plain,0,30865,9455,32.9,0.8847170809095717,0.8460510473577244
