checked 69 DOIs; failures: 14
  FAIL 10.1051/ijmqe/2021011 HTTP Error 403: Forbidden
  FAIL 10.1177/00202940241231473 HTTP Error 403: Forbidden
  FAIL 10.1177/14759217221104217 HTTP Error 403: Forbidden
  FAIL 10.1177/14759217241289874 HTTP Error 403: Forbidden
  FAIL 10.3390/en14217017 HTTP Error 403: Forbidden
  FAIL 10.3390/s20247207 HTTP Error 403: Forbidden
  FAIL 10.3390/s23010192 HTTP Error 403: Forbidden
  FAIL 10.3390/s23177609 HTTP Error 403: Forbidden
  FAIL 10.3390/s24216877 HTTP Error 403: Forbidden
  FAIL 10.3390/s25010180 HTTP Error 403: Forbidden
  FAIL 10.3390/s25123810 HTTP Error 403: Forbidden
  FAIL 10.3390/s25195942 HTTP Error 403: Forbidden
  FAIL 10.3390/s25196131 HTTP Error 403: Forbidden
  FAIL 10.3390/s26123829 HTTP Error 403: Forbidden
