machine,ftype,group,share_of_recordings_where_group_is_strongest
PMSG,TURNS,stator current,0.09259259259259259
PMSG,TURNS,dq / control,0.8425925925925926
PMSG,TURNS,mechanical,0.06481481481481481
PMSG,WINDINGS,stator current,0.046296296296296294
PMSG,WINDINGS,dq / control,0.9444444444444444
PMSG,WINDINGS,mechanical,0.009259259259259259
SCIG,TURNS,stator current,0.2222222222222222
SCIG,TURNS,dq / control,0.5740740740740741
SCIG,TURNS,mechanical,0.2037037037037037
SCIG,WINDINGS,stator current,0.32407407407407407
SCIG,WINDINGS,dq / control,0.48148148148148145
SCIG,WINDINGS,mechanical,0.19444444444444445
