machine,ftype,feature,min_detectable_sev_pct,min_detectable_first_pct,n_sev_levels,n_levels_detectable,spearman_sdr_vs_sev
PMSG,TURNS,V2_V1,3.8,3.8,8,6,0.7900618063722903
PMSG,TURNS,Vq_2fe,7.4,7.4,8,5,0.7751927144848083
PMSG,TURNS,I2_I1,7.4,7.4,8,5,0.7040645439353329
PMSG,TURNS,PId_2fe,12.1,11.6,8,2,0.5118097944428022
PMSG,WINDINGS,V2_V1,2.3,2.3,12,12,0.9249818175862039
PMSG,WINDINGS,Vq_2fe,9.7,2.3,12,11,0.9095812273761834
PMSG,WINDINGS,I2_I1,9.7,9.7,12,10,0.9193894244931797
PMSG,WINDINGS,PId_2fe,21.7,10.6,12,8,0.8667348926019364
SCIG,TURNS,V2_V1,7.4,2.7,8,6,0.8315822237773935
SCIG,TURNS,Vq_2fe,7.4,7.4,8,5,0.7939747252900488
SCIG,TURNS,I2_I1,7.4,7.4,8,5,0.7693233361081706
SCIG,TURNS,PId_2fe,7.4,2.7,8,6,0.8054526207821401
SCIG,WINDINGS,V2_V1,2.3,2.3,12,12,0.9467491322405904
SCIG,WINDINGS,Vq_2fe,9.7,2.3,12,11,0.9524275621504303
SCIG,WINDINGS,I2_I1,2.3,2.3,12,12,0.867595260770094
SCIG,WINDINGS,PId_2fe,2.3,2.3,12,12,0.935220198787279
