machine,speed_rpm,torque_Nm,median_best_sdr,frac_detectable
PMSG,1200,5.2,7.8962246010930155,0.8333333333333334
PMSG,1200,6.4,9.00634190586985,0.8333333333333334
PMSG,1200,8.0,5.300710713464496,0.7916666666666666
PMSG,1500,5.2,12.826172530838683,0.9583333333333334
PMSG,1500,6.4,11.251777253613918,0.9583333333333334
PMSG,1500,8.0,9.58031725848936,0.9166666666666666
PMSG,1800,5.2,20.47692725174964,0.9166666666666666
PMSG,1800,6.4,18.199789022515553,0.9583333333333334
PMSG,1800,8.0,15.457887055478833,0.9166666666666666
SCIG,1200,5.2,18.149045777887768,0.9166666666666666
SCIG,1200,6.4,16.58031400921639,0.9166666666666666
SCIG,1200,8.0,16.05180939142688,0.9583333333333334
SCIG,1500,5.2,26.42893472700417,0.9166666666666666
SCIG,1500,6.4,23.490582765422033,0.9166666666666666
SCIG,1500,8.0,23.81194884862252,0.9166666666666666
SCIG,1800,5.2,51.01111764885934,1.0
SCIG,1800,6.4,47.168877136116976,1.0
SCIG,1800,8.0,44.01163749600243,0.9583333333333334
