calibration,model,train,test,setting,auc,tpr_at_1pct_fpr,n_test
raw,logistic,PMSG,PMSG,within (unseen cases),0.7971040125144906,0.5613382899628253,23204
raw,logistic,SCIG,SCIG,within (unseen cases),0.7912440509237506,0.573041395826206,22826
raw,logistic,PMSG,SCIG,cross-topology,0.705387551107648,0.4071159767362299,22826
raw,logistic,SCIG,PMSG,cross-topology,0.606140969474061,0.25988509631632306,23204
raw,gbdt,PMSG,PMSG,within (unseen cases),0.8862634484910306,0.6120310915849949,23204
raw,gbdt,SCIG,SCIG,within (unseen cases),0.8977862510012424,0.6524119055764626,22826
raw,gbdt,PMSG,SCIG,cross-topology,0.7619043362703914,0.34793020868970237,22826
raw,gbdt,SCIG,PMSG,cross-topology,0.587281419375075,0.2761067928354174,23204
healthy-z,logistic,PMSG,PMSG,within (unseen cases),0.7971040125144906,0.5613382899628253,23204
healthy-z,logistic,SCIG,SCIG,within (unseen cases),0.7912438274657061,0.573041395826206,22826
healthy-z,logistic,PMSG,SCIG,cross-topology,0.6972750958811199,0.4132740335271981,22826
healthy-z,logistic,SCIG,PMSG,cross-topology,0.39226240967879866,0.07468739438999662,23204
healthy-z,gbdt,PMSG,PMSG,within (unseen cases),0.8805491298674708,0.6235214599526867,23204
healthy-z,gbdt,SCIG,SCIG,within (unseen cases),0.8957226847163928,0.6582278481012658,22826
healthy-z,gbdt,PMSG,SCIG,cross-topology,0.8272369108547994,0.22784810126582278,22826
healthy-z,gbdt,SCIG,PMSG,cross-topology,0.7500199524396605,0.30855018587360594,23204
self-ref,logistic,PMSG,PMSG,within (unseen cases),0.9053226064521708,0.7130787428185198,23204
self-ref,logistic,SCIG,SCIG,within (unseen cases),0.9220183421582359,0.7967841258980499,22826
self-ref,logistic,PMSG,SCIG,cross-topology,0.9120098969911701,0.6999657885733835,22826
self-ref,logistic,SCIG,PMSG,cross-topology,0.8866868358385378,0.6140588036498817,23204
self-ref,gbdt,PMSG,PMSG,within (unseen cases),0.927075181009651,0.7570125042244001,23204
self-ref,gbdt,SCIG,SCIG,within (unseen cases),0.9441935363935545,0.8251796099897366,22826
self-ref,gbdt,PMSG,SCIG,cross-topology,0.9320167574969187,0.7375983578515224,22826
self-ref,gbdt,SCIG,PMSG,cross-topology,0.8478908464249744,0.431564717810071,23204
