suite,machine,ftype,n_features,excluded,best_feature,fixed_median_sdr,fixed_share_detectable,fixed_min_detectable_pct,oracle_median_sdr,oracle_share_detectable,oracle_min_detectable_pct,oracle_healthy_false_alarm
drive-internal,PMSG,TURNS,16,"Id_1fe,Spd_std",D2_D1,2.778897630362763,0.6388888888888888,7.4,3.3551585337386296,0.8703703703703703,2.7,0.7777777777777778
3 CT,PMSG,TURNS,6,,I2_I1,1.4713821086768424,0.5648148148148148,7.4,2.089990359586839,0.7685185185185185,7.4,0.0
3 CT + 3 VT,PMSG,TURNS,7,,V2_V1,2.9895182500085298,0.7592592592592593,3.8,3.498542342673354,0.8796296296296297,2.8,0.1111111111111111
3 CT + 3 VT + drive,PMSG,TURNS,25,"Id_1fe,Spd_std",V2_V1,2.9895182500085298,0.7592592592592593,3.8,4.806264776060658,0.9537037037037037,2.7,0.7777777777777778
+ torque transducer,PMSG,TURNS,28,"Id_1fe,Spd_std",V2_V1,2.9895182500085298,0.7592592592592593,3.8,4.806264776060658,0.9537037037037037,2.7,0.7777777777777778
drive-internal,PMSG,WINDINGS,16,"Id_1fe,Spd_std",D2_D1,32.62948217645253,0.8981481481481481,14.3,32.62948217645253,1.0,2.3,0.7777777777777778
3 CT,PMSG,WINDINGS,6,,I2_I1,11.316156734412056,0.8148148148148148,9.7,11.316156734412056,0.9444444444444444,2.3,0.0
3 CT + 3 VT,PMSG,WINDINGS,7,,V2_V1,61.897535214311716,0.9444444444444444,2.3,61.897535214311716,0.9722222222222222,2.3,0.1111111111111111
3 CT + 3 VT + drive,PMSG,WINDINGS,25,"Id_1fe,Spd_std",V2_V1,61.897535214311716,0.9444444444444444,2.3,61.897535214311716,1.0,2.3,0.7777777777777778
+ torque transducer,PMSG,WINDINGS,28,"Id_1fe,Spd_std",V2_V1,61.897535214311716,0.9444444444444444,2.3,61.897535214311716,1.0,2.3,0.7777777777777778
drive-internal,SCIG,TURNS,17,D2_D1,PId_2fe,6.685069382094998,0.7777777777777778,7.4,8.763649552794874,0.9907407407407407,2.7,0.7777777777777778
3 CT,SCIG,TURNS,5,Ia_h7,I2_I1,4.524813854137895,0.75,7.4,5.115998948919723,0.8703703703703703,2.7,0.4444444444444444
3 CT + 3 VT,SCIG,TURNS,6,Ia_h7,I2_I1,4.524813854137895,0.75,7.4,5.3843296049144795,0.8981481481481481,2.7,0.4444444444444444
3 CT + 3 VT + drive,SCIG,TURNS,25,"D2_D1,Ia_h7",PId_2fe,6.685069382094998,0.7777777777777778,7.4,8.763649552794874,0.9907407407407407,2.7,0.7777777777777778
+ torque transducer,SCIG,TURNS,25,"D2_D1,Ia_h7,Tm_1fe,Tm_2fe,Tm_std",PId_2fe,6.685069382094998,0.7777777777777778,7.4,8.763649552794874,0.9907407407407407,2.7,0.7777777777777778
drive-internal,SCIG,WINDINGS,17,D2_D1,PId_2fe,74.01292050093355,1.0,2.3,74.01292050093355,1.0,2.3,0.7777777777777778
3 CT,SCIG,WINDINGS,5,Ia_h7,I2_I1,55.60793972445563,1.0,2.3,55.60793972445563,1.0,2.3,0.4444444444444444
3 CT + 3 VT,SCIG,WINDINGS,6,Ia_h7,I2_I1,55.60793972445563,1.0,2.3,78.21447396886082,1.0,2.3,0.4444444444444444
3 CT + 3 VT + drive,SCIG,WINDINGS,25,"D2_D1,Ia_h7",PId_2fe,74.01292050093355,1.0,2.3,91.86111110071721,1.0,2.3,0.7777777777777778
+ torque transducer,SCIG,WINDINGS,25,"D2_D1,Ia_h7,Tm_1fe,Tm_2fe,Tm_std",PId_2fe,74.01292050093355,1.0,2.3,91.86111110071721,1.0,2.3,0.7777777777777778
