suite,calibration,train,test,setting,auc,tpr_at_1pct_fpr
drive-internal,healthy-z,PMSG,PMSG,within,0.8681075589789725,0.6045961473470767
drive-internal,healthy-z,SCIG,SCIG,within,0.819942873557048,0.5925419089976052
drive-internal,healthy-z,PMSG,SCIG,cross,0.7447411962449678,0.02702702702702703
drive-internal,healthy-z,SCIG,PMSG,cross,0.745028198366724,0.3825616762419736
drive-internal,self-ref,PMSG,PMSG,within,0.951049218029819,0.8296721865495099
drive-internal,self-ref,SCIG,SCIG,within,0.988304808113116,0.9278138898392063
drive-internal,self-ref,PMSG,SCIG,cross,0.9884977138254051,0.928840232637701
drive-internal,self-ref,SCIG,PMSG,cross,0.9416247152000661,0.7391010476512335
3 CT,healthy-z,PMSG,PMSG,within,0.849507554933068,0.5799256505576208
3 CT,healthy-z,SCIG,SCIG,within,0.8132435433073582,0.6199110502907971
3 CT,healthy-z,PMSG,SCIG,cross,0.7055434040168754,0.34895655148819704
3 CT,healthy-z,SCIG,PMSG,cross,0.6792454130551021,0.08854342683338966
3 CT,self-ref,PMSG,PMSG,within,0.9101244244502728,0.7826968570462994
3 CT,self-ref,SCIG,SCIG,within,0.9698619566105232,0.8806021211084503
3 CT,self-ref,PMSG,SCIG,cross,0.973649687035187,0.8925761204242217
3 CT,self-ref,SCIG,PMSG,cross,0.9261113494360326,0.7536329841162555
3 CT + 3 VT,healthy-z,PMSG,PMSG,within,0.8417755887584151,0.6147347076715106
3 CT + 3 VT,healthy-z,SCIG,SCIG,within,0.8568437084404124,0.6086212795073555
3 CT + 3 VT,healthy-z,PMSG,SCIG,cross,0.8526841404174474,0.5094081423195347
3 CT + 3 VT,healthy-z,SCIG,PMSG,cross,0.7204594937542343,0.3328827306522474
3 CT + 3 VT,self-ref,PMSG,PMSG,within,0.9502157418998615,0.8489354511659344
3 CT + 3 VT,self-ref,SCIG,SCIG,within,0.9700670347350204,0.8853917208347588
3 CT + 3 VT,self-ref,PMSG,SCIG,cross,0.9741000405524042,0.8819705781731099
3 CT + 3 VT,self-ref,SCIG,PMSG,cross,0.9530653030779019,0.8060155457924975
3 CT + 3 VT + drive,healthy-z,PMSG,PMSG,within,0.8767906101699756,0.6140588036498817
3 CT + 3 VT + drive,healthy-z,SCIG,SCIG,within,0.8436035466446064,0.6130687649674992
3 CT + 3 VT + drive,healthy-z,PMSG,SCIG,cross,0.8367398502283756,0.24495381457406773
3 CT + 3 VT + drive,healthy-z,SCIG,PMSG,cross,0.7862790938205553,0.488340655626901
3 CT + 3 VT + drive,self-ref,PMSG,PMSG,within,0.974269238275207,0.8722541399121325
3 CT + 3 VT + drive,self-ref,SCIG,SCIG,within,0.989904772620112,0.9332877180978447
3 CT + 3 VT + drive,self-ref,PMSG,SCIG,cross,0.9866489483010117,0.918918918918919
3 CT + 3 VT + drive,self-ref,SCIG,PMSG,cross,0.9467936307152366,0.7546468401486989
+ torque transducer,healthy-z,PMSG,PMSG,within,0.8781254611140992,0.6150726596823252
+ torque transducer,healthy-z,SCIG,SCIG,within,0.8428738967432543,0.6175162504276428
+ torque transducer,healthy-z,PMSG,SCIG,cross,0.8359815835778153,0.30516592541909
+ torque transducer,healthy-z,SCIG,PMSG,cross,0.7812551813358466,0.4744846231835079
+ torque transducer,self-ref,PMSG,PMSG,within,0.9731328151402503,0.8661710037174721
+ torque transducer,self-ref,SCIG,SCIG,within,0.9897527332726994,0.9284981183715361
+ torque transducer,self-ref,PMSG,SCIG,cross,0.9869002198291321,0.9161820047895998
+ torque transducer,self-ref,SCIG,PMSG,cross,0.9487611996185744,0.7546468401486989
