case,ftype,sev_pct,machine,zf_ohm,Ifault_A,Ifault_over_I1,n
PHASE_D02_D09,PHASE,27.290000000000003,WFSG,11.32,2.692974648570424,0.60258581722538,18
PHASE_D02_D10,PHASE,30.09,WFSG,11.32,2.89408414328172,0.649259313509321,18
PHASE_D03_D09,PHASE,19.6,WFSG,11.32,2.967838920455894,0.6627293679157187,18
PHASE_D03_D10,PHASE,22.4,WFSG,11.32,3.1364657190772416,0.7029007743533116,18
PHASE_D05_D23,PHASE,79.19999999999999,WFSG,33.96,3.430475285402252,0.7858134615246944,9
PHASE_D05_D24,PHASE,82.0,WFSG,33.96,3.528987900607293,0.7943842117440256,9
PHASE_D08_D23,PHASE,67.1,WFSG,33.96,3.618160153262281,0.8149695969576948,9
PHASE_D08_D24,PHASE,69.9,WFSG,33.96,3.666570510865139,0.8341715521283821,9
PHASE_D11_D17,PHASE,20.3,WFSG,33.96,3.139746013385674,0.7170405574622313,9
PHASE_D11_D20,PHASE,31.89999999999999,WFSG,33.96,3.461359489641759,0.7897773598011344,9
PHASE_D12_D17,PHASE,17.6,WFSG,33.96,3.142259965798184,0.7138353663159774,9
PHASE_D12_D20,PHASE,29.2,WFSG,33.96,3.491489235431045,0.7816670150300156,9
PHASE_D14_D21,PHASE,26.3,WFSG,33.96,3.805004017881537,0.8690046298244601,9
PHASE_D14_D22,PHASE,30.10000000000001,WFSG,33.96,3.914938871226721,0.8885780630043233,9
PHASE_D15_D21,PHASE,18.89999999999999,WFSG,33.96,3.9962267761986814,0.907945058384081,9
PHASE_D15_D22,PHASE,22.700000000000003,WFSG,33.96,3.984552688600648,0.9081326654464189,9
TURNS_D01_D04,TURNS,12.04,PMSG,2.6,5.8495947074564425,1.6296805273471442,9
TURNS_D01_D04,TURNS,12.04,SCIG,2.6,5.158529343697721,0.7075800658728026,9
TURNS_D01_D04,TURNS,12.04,WFSG,2.83,4.575384015670169,0.8783720753370964,36
TURNS_D02_D03,TURNS,7.689999999999999,PMSG,2.6,3.6828542315808015,1.0279290545518605,9
TURNS_D02_D03,TURNS,7.689999999999999,SCIG,2.6,3.370061267765548,0.45959089823841365,9
TURNS_D02_D03,TURNS,7.689999999999999,WFSG,1.0,3.209096410911517,0.7128171670469157,9
TURNS_D05_D08,TURNS,12.1,PMSG,2.6,5.928127450226086,1.6546646741883537,9
TURNS_D05_D08,TURNS,12.1,SCIG,2.6,5.597576265434517,0.7403975889170359,9
TURNS_D05_D08,TURNS,12.1,WFSG,2.83,3.970744278037613,0.8561327032849785,27
TURNS_D06_D07,TURNS,7.399999999999999,PMSG,2.6,3.6726980566225738,1.019510523116686,9
TURNS_D06_D07,TURNS,7.399999999999999,SCIG,2.6,3.3298156519750943,0.4504648390023007,9
TURNS_D06_D07,TURNS,7.399999999999999,WFSG,1.0,3.275318440803045,0.6621031894704261,6
TURNS_D09_D10,TURNS,2.799999999999997,PMSG,2.6,1.3981571987206003,0.3765687966143394,9
TURNS_D09_D10,TURNS,2.799999999999997,SCIG,2.6,1.1234541568350336,0.15156960657715499,9
TURNS_D09_D10,TURNS,2.799999999999997,WFSG,1.0,1.2797515242519417,0.25752055547999547,6
TURNS_D11_D12,TURNS,2.699999999999996,PMSG,2.6,1.4086167335758433,0.38838854660934763,9
TURNS_D11_D12,TURNS,2.699999999999996,SCIG,2.6,1.1307271083835595,0.15236808506804606,9
TURNS_D11_D12,TURNS,2.699999999999996,WFSG,1.0,1.2773022393845617,0.2584732647593502,9
TURNS_D13_D16,TURNS,11.6,PMSG,2.6,5.871744495900823,1.6327957051031758,9
TURNS_D13_D16,TURNS,11.6,SCIG,2.6,5.5222274573983,0.7467032907816961,9
TURNS_D13_D16,TURNS,11.6,WFSG,2.83,3.8983195317561634,0.8345732598237624,27
TURNS_D14_D15,TURNS,7.400000000000006,PMSG,2.6,3.697940837990669,1.0295248369747365,9
TURNS_D14_D15,TURNS,7.400000000000006,SCIG,2.6,3.2862355950318105,0.4405916992160385,9
TURNS_D14_D15,TURNS,7.400000000000006,WFSG,1.0,4.128373864027976,0.9302654835252445,9
TURNS_D17_D20,TURNS,11.599999999999994,PMSG,2.6,5.90412455834861,1.6531851297726416,9
TURNS_D17_D20,TURNS,11.599999999999994,SCIG,2.6,5.545567016123762,0.7463823267901915,9
TURNS_D17_D20,TURNS,11.599999999999994,WFSG,2.83,3.879473149554463,0.8342230120737073,27
TURNS_D18_D19,TURNS,7.400000000000006,PMSG,2.6,3.673630886076868,1.0166969094661695,9
TURNS_D18_D19,TURNS,7.400000000000006,SCIG,2.6,3.306835855438964,0.4452850248534744,9
TURNS_D18_D19,TURNS,7.400000000000006,WFSG,1.0,3.211430733739357,0.7290028925480448,9
TURNS_D21_D22,TURNS,3.8000000000000114,PMSG,2.6,1.4138100623692471,0.3908616371213553,9
TURNS_D21_D22,TURNS,3.8000000000000114,SCIG,2.6,1.086917537326744,0.14395032585042852,9
TURNS_D21_D22,TURNS,3.8000000000000114,WFSG,1.0,1.2980990735648428,0.2580020530599602,6
TURNS_D23_D24,TURNS,2.800000000000012,PMSG,2.6,1.4061840721528835,0.3928155266522826,9
TURNS_D23_D24,TURNS,2.800000000000012,SCIG,2.6,1.0870178253889056,0.14321175278792614,9
TURNS_D23_D24,TURNS,2.800000000000012,WFSG,1.0,1.281530861757993,0.25739051321095807,9
WINDINGS_D01_D06,WINDINGS,14.34,PMSG,2.6,7.1126293722273,2.001572313881586,9
WINDINGS_D01_D06,WINDINGS,14.34,SCIG,2.6,6.47796104997041,0.8718794610557755,9
WINDINGS_D01_D06,WINDINGS,14.34,WFSG,5.66,3.329729868398166,0.7472927488679518,9
WINDINGS_D01_D07,WINDINGS,21.74,PMSG,2.6,10.352237987159375,2.873817517323486,9
WINDINGS_D01_D07,WINDINGS,21.74,SCIG,2.6,9.46877309553112,1.2745993586812177,9
WINDINGS_D01_D07,WINDINGS,21.74,WFSG,5.66,4.734191013763009,1.0707343419845563,9
WINDINGS_D04_D06,WINDINGS,2.3000000000000007,PMSG,2.6,2.003141435262044,0.5504521248972802,9
WINDINGS_D04_D06,WINDINGS,2.3000000000000007,SCIG,2.6,1.907508907461634,0.2558287197274149,9
WINDINGS_D04_D06,WINDINGS,2.3000000000000007,WFSG,2.83,2.393879112646193,0.6886187010547011,18
WINDINGS_D04_D07,WINDINGS,9.7,PMSG,2.6,4.699082429783244,1.286540022167394,9
WINDINGS_D04_D07,WINDINGS,9.7,SCIG,2.6,4.506913011365792,0.6045830243972563,9
WINDINGS_D04_D07,WINDINGS,9.7,WFSG,2.83,4.197396787246483,0.9173355352028177,27
WINDINGS_D09_D23,WINDINGS,62.49999999999999,WFSG,11.32,4.991385114416731,1.1393137193370229,18
WINDINGS_D09_D24,WINDINGS,65.30000000000001,WFSG,11.32,5.194555712862503,1.1875230465716413,18
WINDINGS_D10_D23,WINDINGS,59.7,WFSG,11.32,4.922596944092734,1.1252221748089537,18
WINDINGS_D10_D24,WINDINGS,62.50000000000001,WFSG,11.32,4.964592876248568,1.0998485700618819,15
WINDINGS_D11_D21,WINDINGS,36.39999999999999,PMSG,2.6,16.010066432288596,4.3659246834830565,9
WINDINGS_D11_D21,WINDINGS,36.39999999999999,SCIG,2.6,14.224735604628206,1.8937129127402128,9
WINDINGS_D11_D21,WINDINGS,36.39999999999999,WFSG,11.32,3.1144179312558435,0.7017129746012828,18
WINDINGS_D11_D22,WINDINGS,40.2,PMSG,2.6,17.11131633525423,4.706305985562184,9
WINDINGS_D11_D22,WINDINGS,40.2,SCIG,2.6,14.91027437023179,2.0073936484125614,9
WINDINGS_D11_D22,WINDINGS,40.2,WFSG,11.32,3.3401026225003005,0.7501882409492011,18
WINDINGS_D12_D21,WINDINGS,33.7,PMSG,2.6,15.158207390495903,4.191362511251486,9
WINDINGS_D12_D21,WINDINGS,33.7,SCIG,2.6,13.37326212031647,1.803540399959733,9
WINDINGS_D12_D21,WINDINGS,33.7,WFSG,11.32,2.8884503776849346,0.6498656035570516,18
WINDINGS_D12_D22,WINDINGS,37.50000000000001,PMSG,2.6,16.18994536940654,4.511263832013165,9
WINDINGS_D12_D22,WINDINGS,37.50000000000001,SCIG,2.6,14.178734790007384,1.9124753873557239,9
WINDINGS_D12_D22,WINDINGS,37.50000000000001,WFSG,11.32,3.1138926090265264,0.698890190846396,18
WINDINGS_D13_D18,WINDINGS,14.799999999999995,PMSG,2.6,6.827516090003638,1.8783480412191202,9
WINDINGS_D13_D18,WINDINGS,14.799999999999995,SCIG,2.6,6.279007278713594,0.8436828945531402,9
WINDINGS_D13_D18,WINDINGS,14.799999999999995,WFSG,5.66,2.5727999171706664,0.5920029145062362,9
WINDINGS_D13_D19,WINDINGS,22.200000000000003,PMSG,2.6,9.812079466349942,2.7136868118250903,9
WINDINGS_D13_D19,WINDINGS,22.200000000000003,SCIG,2.6,8.928052041229734,1.210213809774938,9
WINDINGS_D13_D19,WINDINGS,22.200000000000003,WFSG,5.66,3.833424928199491,0.8745518556919673,9
WINDINGS_D16_D18,WINDINGS,3.199999999999996,PMSG,2.6,2.096075947321718,0.5818531590225471,9
WINDINGS_D16_D18,WINDINGS,3.199999999999996,SCIG,2.6,1.901707450461196,0.2564450949066486,9
WINDINGS_D16_D18,WINDINGS,3.199999999999996,WFSG,2.83,1.9973127771416814,0.5242084222540906,18
WINDINGS_D16_D19,WINDINGS,10.6,PMSG,2.6,4.883760507339854,1.3334357986793914,9
WINDINGS_D16_D19,WINDINGS,10.6,SCIG,2.6,4.421783301558783,0.5912484950201612,9
WINDINGS_D16_D19,WINDINGS,10.6,WFSG,2.83,2.9122484131717523,0.7726006268985172,18
