suite,machine,ftype,best_feature,n_trials,fixed_median_sdr,fixed_share_detectable,fixed_min_detectable_pct,smallest_extent_tested_pct,oracle_share_detectable,oracle_min_detectable_pct
drive-internal,PMSG,TURNS,D2_D1,108,2.3700664923785677,0.6481481481481481,7.399999999999999,2.699999999999996,0.8055555555555556,2.699999999999996
3 CT,PMSG,TURNS,I2_I1,108,1.3844819888644215,0.5740740740740741,7.399999999999999,2.699999999999996,0.7870370370370371,2.799999999999997
3 CT + 3 VT,PMSG,TURNS,I2_I1,108,1.3844819888644215,0.5740740740740741,7.399999999999999,2.699999999999996,0.7870370370370371,2.799999999999997
3 CT + 3 VT + drive,PMSG,TURNS,D2_D1,108,2.3700664923785677,0.6481481481481481,7.399999999999999,2.699999999999996,0.9166666666666666,2.699999999999996
drive-internal,PMSG,WINDINGS,D2_D1,108,28.714495474615372,0.9074074074074074,2.3000000000000007,2.3000000000000007,0.9814814814814815,2.3000000000000007
3 CT,PMSG,WINDINGS,I2_I1,108,11.539384629235432,0.8333333333333334,9.7,2.3000000000000007,0.9907407407407407,2.3000000000000007
3 CT + 3 VT,PMSG,WINDINGS,I2_I1,108,11.539384629235432,0.8333333333333334,9.7,2.3000000000000007,0.9907407407407407,2.3000000000000007
3 CT + 3 VT + drive,PMSG,WINDINGS,D2_D1,108,28.714495474615372,0.9074074074074074,2.3000000000000007,2.3000000000000007,1.0,2.3000000000000007
drive-internal,SCIG,TURNS,Vdconv_2fe,108,5.5382602095404465,0.7314814814814815,7.399999999999999,2.699999999999996,0.8703703703703703,2.699999999999996
3 CT,SCIG,TURNS,I2_I1,108,3.9900774981084917,0.7037037037037037,7.399999999999999,2.699999999999996,0.8148148148148148,2.799999999999997
3 CT + 3 VT,SCIG,TURNS,I2_I1,108,3.9900774981084917,0.7037037037037037,7.399999999999999,2.699999999999996,0.8148148148148148,2.799999999999997
3 CT + 3 VT + drive,SCIG,TURNS,Vdconv_2fe,108,5.5382602095404465,0.7314814814814815,7.399999999999999,2.699999999999996,0.9444444444444444,2.699999999999996
drive-internal,SCIG,WINDINGS,Vdconv_2fe,108,57.30183737844557,1.0,2.3000000000000007,2.3000000000000007,1.0,2.3000000000000007
3 CT,SCIG,WINDINGS,I2_I1,108,49.51492485378276,0.9814814814814815,2.3000000000000007,2.3000000000000007,0.9814814814814815,2.3000000000000007
3 CT + 3 VT,SCIG,WINDINGS,I2_I1,108,49.51492485378276,0.9814814814814815,2.3000000000000007,2.3000000000000007,0.9814814814814815,2.3000000000000007
3 CT + 3 VT + drive,SCIG,WINDINGS,Vdconv_2fe,108,57.30183737844557,1.0,2.3000000000000007,2.3000000000000007,1.0,2.3000000000000007
drive-internal,WFSG,TURNS,Iq_2fe,180,7.272008546421015,0.8055555555555556,11.599999999999994,11.599999999999994,0.9666666666666667,11.599999999999994
3 CT,WFSG,TURNS,I_unbal_rms,180,5.604521531351469,0.7833333333333333,11.599999999999994,11.599999999999994,0.9444444444444444,11.599999999999994
3 CT + 3 VT,WFSG,TURNS,V2_V1,180,9.449979662993108,0.7777777777777778,11.599999999999994,11.599999999999994,0.95,11.599999999999994
3 CT + 3 VT + drive,WFSG,TURNS,V2_V1,180,9.449979662993108,0.7777777777777778,11.599999999999994,11.599999999999994,0.9777777777777777,11.599999999999994
excitation (WFSG only),WFSG,TURNS,If_2fe,180,3.648891481866592,0.7,11.599999999999994,11.599999999999994,0.7611111111111111,11.599999999999994
drive-internal,WFSG,WINDINGS,Iq_2fe,258,32.99003450016197,1.0,2.3000000000000007,2.3000000000000007,1.0,2.3000000000000007
3 CT,WFSG,WINDINGS,Ia_h3,258,21.842371653914547,0.9961240310077519,2.3000000000000007,2.3000000000000007,1.0,2.3000000000000007
3 CT + 3 VT,WFSG,WINDINGS,Ia_h3,258,21.842371653914547,0.9961240310077519,2.3000000000000007,2.3000000000000007,1.0,2.3000000000000007
3 CT + 3 VT + drive,WFSG,WINDINGS,Iq_2fe,258,32.99003450016197,1.0,2.3000000000000007,2.3000000000000007,1.0,2.3000000000000007
excitation (WFSG only),WFSG,WINDINGS,If_2fe,258,14.238042324664047,1.0,2.3000000000000007,2.3000000000000007,1.0,2.3000000000000007
