train,test,auc,tpr_at_1pct_fpr
PMSG,PMSG,0.8607731568256072,0.6296077853140667
SCIG,SCIG,0.9153787399815804,0.7651266766020864
WFSG,WFSG,0.9736410910067428,0.9287812041116006
PMSG,SCIG,0.882923887961047,0.617585692995529
PMSG,WFSG,0.9743651742653758,0.9030837004405287
SCIG,PMSG,0.8130666781227783,0.36301975818342674
SCIG,WFSG,0.9512815476695424,0.868575624082232
WFSG,PMSG,0.8580058328348108,0.5328811560011796
WFSG,SCIG,0.9089088519837425,0.6211624441132638
SCIG+WFSG,PMSG,0.8424268704082047,0.4314361545266883
PMSG+WFSG,SCIG,0.886497847560331,0.6289120715350224
PMSG+SCIG,WFSG,0.9710657572602392,0.8928046989720999
