ftype,feature,machine,median_sdr,median_sdr_ci_lo,median_sdr_ci_hi,share,share_ci_lo,share_ci_hi,share_wilson_lo,share_wilson_hi,mde,mde_ci_lo,mde_ci_hi,mde_undetectable_frac
TURNS,V2_V1,PMSG,2.9895182500085298,1.2145727470682748,12.543399062037478,0.7592592592592593,0.5462962962962963,0.9351851851851852,0.670618917901196,0.830089226474421,3.8,2.8,3.8,0.0
TURNS,V2_V1,SCIG,4.170551192564298,0.9485034762781251,15.504810959275142,0.7314814814814815,0.49074074074074076,0.9259259259259259,0.6410086613886575,0.8060521818038576,7.4,7.4,7.4,0.0
TURNS,V2_V1,SCIG/PMSG ratio of medians,1.1042069314259448,0.3775213264299223,4.5595176236487,-0.03037962962962959,-0.2777777777777778,0.16666666666666674,,,,,,
TURNS,I2_I1,PMSG,1.4713821086768424,0.601120806013571,2.364452638601228,0.5648148148148148,0.3611111111111111,0.7407407407407407,0.4706765816044607,0.6545004544894435,7.4,7.4,12.1,0.0
TURNS,I2_I1,SCIG,4.524813854137895,1.113243311321337,11.658387057728683,0.75,0.5462962962962963,0.9074074074074074,0.6607028958349419,0.8221228148129744,7.4,7.4,7.4,0.0
TURNS,I2_I1,SCIG/PMSG ratio of medians,3.0681065588693928,1.3359705880669839,5.63341529388972,0.18350462962962977,0.08333333333333337,0.287037037037037,,,,,,
TURNS,Id_2fe,PMSG,0.5161297442386663,0.3903770816127845,1.0938675593683183,0.2962962962962963,0.1111111111111111,0.5094907407407395,0.21837679573361612,0.3882096622569705,12.1,11.6,12.1,0.002
TURNS,Id_2fe,SCIG,6.681988120784283,1.302413995666801,18.251765979050383,0.7870370370370371,0.6018518518518519,0.9351851851851852,0.7006639174764425,0.8536915280822762,7.4,3.8,7.4,0.0
TURNS,Id_2fe,SCIG/PMSG ratio of medians,11.954052713981998,2.62867540781389,29.610285496962543,0.4877499999999999,0.28703703703703703,0.6761574074074063,,,,,,
TURNS,PId_2fe,PMSG,0.5178719379220738,0.38917296415635894,1.1091794562409203,0.3055555555555556,0.1111111111111111,0.5277777777777778,0.22660104620023352,0.3978678455180537,12.1,11.6,12.1,0.002
TURNS,PId_2fe,SCIG,6.685069382094998,1.3035087726874808,18.257676122624872,0.7777777777777778,0.5833333333333334,0.9259259259259259,0.6905974226538109,0.8458755891772073,7.4,3.8,7.4,0.0
TURNS,PId_2fe,SCIG/PMSG ratio of medians,11.759374605091892,2.5872137086812215,28.83886920223585,0.4695231481481481,0.26851851851851855,0.6666666666666666,,,,,,
TURNS,Vq_2fe,PMSG,1.346006770117845,0.7905315132017309,4.578087826147177,0.5740740740740741,0.3611111111111111,0.7685185185185185,0.4798501364705287,0.6632093333510761,7.4,7.4,11.6,0.0
