alpha,e_req_pct,machine,ftype,suite,cost_rank,fixed_feature,mde_monotone_pct,mde_ci_lo,mde_ci_hi,p_meets,verdict,ds_conditional,ds_all,smallest_extent_tested_pct
0.9,3,PMSG,TURNS,drive-internal,0,D2_D1,3.8000000000000114,3.8000000000000114,7.400000000000006,0.0,fails,0.8518518518518519,0.6851851851851852,2.699999999999996
0.9,5,PMSG,TURNS,drive-internal,0,D2_D1,3.8000000000000114,3.8000000000000114,7.400000000000006,0.553,uncertain,0.8888888888888888,0.6851851851851852,2.699999999999996
0.9,8,PMSG,TURNS,drive-internal,0,D2_D1,3.8000000000000114,3.8000000000000114,7.400000000000006,0.999,meets,0.9722222222222222,0.6851851851851852,2.699999999999996
0.9,12,PMSG,TURNS,drive-internal,0,D2_D1,3.8000000000000114,3.8000000000000114,7.400000000000006,0.999,meets,1.0,0.6851851851851852,2.699999999999996
0.9,3,PMSG,TURNS,3 CT,1,I_unbal_rms,12.04,12.04,12.04,0.0,fails,0.6049382716049383,0.5185185185185185,2.699999999999996
0.9,5,PMSG,TURNS,3 CT,1,I_unbal_rms,12.04,12.04,12.04,0.0,fails,0.6805555555555556,0.5185185185185185,2.699999999999996
0.9,8,PMSG,TURNS,3 CT,1,I_unbal_rms,12.04,12.04,12.04,0.0,fails,0.6388888888888888,0.5185185185185185,2.699999999999996
0.9,12,PMSG,TURNS,3 CT,1,I_unbal_rms,12.04,12.04,12.04,0.0,fails,1.0,0.5185185185185185,2.699999999999996
0.9,3,PMSG,TURNS,3 CT + 3 VT,2,I_unbal_rms,12.04,12.04,12.04,0.0,fails,0.6049382716049383,0.5185185185185185,2.699999999999996
0.9,5,PMSG,TURNS,3 CT + 3 VT,2,I_unbal_rms,12.04,12.04,12.04,0.0,fails,0.6805555555555556,0.5185185185185185,2.699999999999996
0.9,8,PMSG,TURNS,3 CT + 3 VT,2,I_unbal_rms,12.04,12.04,12.04,0.0,fails,0.6388888888888888,0.5185185185185185,2.699999999999996
0.9,12,PMSG,TURNS,3 CT + 3 VT,2,I_unbal_rms,12.04,12.04,12.04,0.0,fails,1.0,0.5185185185185185,2.699999999999996
0.9,3,PMSG,TURNS,3 CT + 3 VT + drive,3,D2_D1,3.8000000000000114,3.8000000000000114,7.400000000000006,0.0,fails,0.8518518518518519,0.6851851851851852,2.699999999999996
0.9,5,PMSG,TURNS,3 CT + 3 VT + drive,3,D2_D1,3.8000000000000114,3.8000000000000114,7.400000000000006,0.524,uncertain,0.8888888888888888,0.6851851851851852,2.699999999999996
0.9,8,PMSG,TURNS,3 CT + 3 VT + drive,3,D2_D1,3.8000000000000114,3.8000000000000114,7.400000000000006,0.999,meets,0.9722222222222222,0.6851851851851852,2.699999999999996
0.9,12,PMSG,TURNS,3 CT + 3 VT + drive,3,D2_D1,3.8000000000000114,3.8000000000000114,7.400000000000006,0.999,meets,1.0,0.6851851851851852,2.699999999999996
0.9,3,PMSG,WINDINGS,drive-internal,0,D2_D1,14.34,2.3000000000000007,14.34,0.124,uncertain,0.9090909090909091,0.9074074074074074,2.3000000000000007
0.9,5,PMSG,WINDINGS,drive-internal,0,D2_D1,14.34,2.3000000000000007,14.34,0.124,uncertain,0.9333333333333333,0.9074074074074074,2.3000000000000007
0.9,8,PMSG,WINDINGS,drive-internal,0,D2_D1,14.34,2.3000000000000007,14.34,0.124,uncertain,0.9333333333333333,0.9074074074074074,2.3000000000000007
0.9,12,PMSG,WINDINGS,drive-internal,0,D2_D1,14.34,2.3000000000000007,14.34,0.142,uncertain,1.0,0.9074074074074074,2.3000000000000007
0.9,3,PMSG,WINDINGS,3 CT,1,I_unbal_rms,9.7,3.199999999999996,22.200000000000003,0.0,fails,0.9090909090909091,0.8425925925925926,2.3000000000000007
0.9,5,PMSG,WINDINGS,3 CT,1,I_unbal_rms,9.7,3.199999999999996,22.200000000000003,0.333,uncertain,0.9555555555555556,0.8425925925925926,2.3000000000000007
0.9,8,PMSG,WINDINGS,3 CT,1,I_unbal_rms,9.7,3.199999999999996,22.200000000000003,0.333,uncertain,0.9555555555555556,0.8425925925925926,2.3000000000000007
0.9,12,PMSG,WINDINGS,3 CT,1,I_unbal_rms,9.7,3.199999999999996,22.200000000000003,0.964,meets,0.9583333333333334,0.8425925925925926,2.3000000000000007
0.9,3,PMSG,WINDINGS,3 CT + 3 VT,2,I_unbal_rms,9.7,3.199999999999996,22.200000000000003,0.001,fails,0.9090909090909091,0.8425925925925926,2.3000000000000007
0.9,5,PMSG,WINDINGS,3 CT + 3 VT,2,I_unbal_rms,9.7,3.199999999999996,22.200000000000003,0.347,uncertain,0.9555555555555556,0.8425925925925926,2.3000000000000007
0.9,8,PMSG,WINDINGS,3 CT + 3 VT,2,I_unbal_rms,9.7,3.199999999999996,22.200000000000003,0.347,uncertain,0.9555555555555556,0.8425925925925926,2.3000000000000007
0.9,12,PMSG,WINDINGS,3 CT + 3 VT,2,I_unbal_rms,9.7,3.199999999999996,22.200000000000003,0.971,meets,0.9583333333333334,0.8425925925925926,2.3000000000000007
0.9,3,PMSG,WINDINGS,3 CT + 3 VT + drive,3,D2_D1,14.34,2.3000000000000007,14.34,0.119,uncertain,0.9090909090909091,0.9074074074074074,2.3000000000000007
0.9,5,PMSG,WINDINGS,3 CT + 3 VT + drive,3,D2_D1,14.34,2.3000000000000007,14.34,0.119,uncertain,0.9333333333333333,0.9074074074074074,2.3000000000000007
0.9,8,PMSG,WINDINGS,3 CT + 3 VT + drive,3,D2_D1,14.34,2.3000000000000007,14.34,0.119,uncertain,0.9333333333333333,0.9074074074074074,2.3000000000000007
0.9,12,PMSG,WINDINGS,3 CT + 3 VT + drive,3,D2_D1,14.34,2.3000000000000007,14.34,0.136,uncertain,1.0,0.9074074074074074,2.3000000000000007
0.9,3,SCIG,TURNS,drive-internal,0,Vdconv_2fe,7.399999999999999,2.699999999999996,7.399999999999999,0.142,uncertain,0.8888888888888888,0.7870370370370371,2.699999999999996
0.9,5,SCIG,TURNS,drive-internal,0,Vdconv_2fe,7.399999999999999,2.699999999999996,7.399999999999999,0.356,uncertain,0.9444444444444444,0.7870370370370371,2.699999999999996
0.9,8,SCIG,TURNS,drive-internal,0,Vdconv_2fe,7.399999999999999,2.699999999999996,7.399999999999999,0.998,meets,0.9722222222222222,0.7870370370370371,2.699999999999996
0.9,12,SCIG,TURNS,drive-internal,0,Vdconv_2fe,7.399999999999999,2.699999999999996,7.399999999999999,0.998,meets,1.0,0.7870370370370371,2.699999999999996
0.9,3,SCIG,TURNS,3 CT,1,I2_I1,7.399999999999999,7.399999999999999,7.399999999999999,0.0,fails,0.8518518518518519,0.7777777777777778,2.699999999999996
0.9,5,SCIG,TURNS,3 CT,1,I2_I1,7.399999999999999,7.399999999999999,7.399999999999999,0.0,fails,0.9583333333333334,0.7777777777777778,2.699999999999996
0.9,8,SCIG,TURNS,3 CT,1,I2_I1,7.399999999999999,7.399999999999999,7.399999999999999,0.998,meets,0.9722222222222222,0.7777777777777778,2.699999999999996
0.9,12,SCIG,TURNS,3 CT,1,I2_I1,7.399999999999999,7.399999999999999,7.399999999999999,0.998,meets,1.0,0.7777777777777778,2.699999999999996
0.9,3,SCIG,TURNS,3 CT + 3 VT,2,I2_I1,7.399999999999999,7.399999999999999,7.399999999999999,0.0,fails,0.8518518518518519,0.7777777777777778,2.699999999999996
0.9,5,SCIG,TURNS,3 CT + 3 VT,2,I2_I1,7.399999999999999,7.399999999999999,7.399999999999999,0.0,fails,0.9583333333333334,0.7777777777777778,2.699999999999996
0.9,8,SCIG,TURNS,3 CT + 3 VT,2,I2_I1,7.399999999999999,7.399999999999999,7.399999999999999,0.997,meets,0.9722222222222222,0.7777777777777778,2.699999999999996
0.9,12,SCIG,TURNS,3 CT + 3 VT,2,I2_I1,7.399999999999999,7.399999999999999,7.399999999999999,0.997,meets,1.0,0.7777777777777778,2.699999999999996
0.9,3,SCIG,TURNS,3 CT + 3 VT + drive,3,Vdconv_2fe,7.399999999999999,2.699999999999996,7.399999999999999,0.146,uncertain,0.8888888888888888,0.7870370370370371,2.699999999999996
0.9,5,SCIG,TURNS,3 CT + 3 VT + drive,3,Vdconv_2fe,7.399999999999999,2.699999999999996,7.399999999999999,0.369,uncertain,0.9444444444444444,0.7870370370370371,2.699999999999996
0.9,8,SCIG,TURNS,3 CT + 3 VT + drive,3,Vdconv_2fe,7.399999999999999,2.699999999999996,7.399999999999999,0.999,meets,0.9722222222222222,0.7870370370370371,2.699999999999996
0.9,12,SCIG,TURNS,3 CT + 3 VT + drive,3,Vdconv_2fe,7.399999999999999,2.699999999999996,7.399999999999999,0.999,meets,1.0,0.7870370370370371,2.699999999999996
0.9,3,SCIG,WINDINGS,drive-internal,0,Vdconv_2fe,2.3000000000000007,2.3000000000000007,2.3000000000000007,1.0,meets,1.0,1.0,2.3000000000000007
0.9,5,SCIG,WINDINGS,drive-internal,0,Vdconv_2fe,2.3000000000000007,2.3000000000000007,2.3000000000000007,1.0,meets,1.0,1.0,2.3000000000000007
