machine,ftype,suite,cost_rank,fixed_feature,n_candidates,mde_first_pct,mde_monotone_pct,ds_all,ds_ge_5pct,ds_ge_8pct,ds_nested,smallest_extent_tested_pct
PMSG,TURNS,drive-internal,0,D2_D1,14,7.4,7.4,0.6481481481481481,0.8611111111111112,0.9722222222222222,0.6481481481481481,2.7
PMSG,TURNS,3 CT,1,I2_I1,6,7.4,7.4,0.5740740740740741,0.8055555555555556,0.8888888888888888,0.5740740740740741,2.7
PMSG,TURNS,3 CT + 3 VT,2,V2_V1,7,3.8,3.8,0.7314814814814815,0.8888888888888888,0.9722222222222222,0.7314814814814815,2.7
PMSG,TURNS,3 CT + 3 VT + drive,3,V2_V1,23,3.8,3.8,0.7314814814814815,0.8888888888888888,0.9722222222222222,0.6759259259259259,2.7
PMSG,WINDINGS,drive-internal,0,D2_D1,14,14.3,14.3,0.9074074074074074,0.9333333333333333,0.9333333333333333,0.9074074074074074,2.3
PMSG,WINDINGS,3 CT,1,I2_I1,6,9.7,9.7,0.8333333333333334,0.9555555555555556,0.9555555555555556,0.8333333333333334,2.3
PMSG,WINDINGS,3 CT + 3 VT,2,V2_V1,7,9.7,9.7,0.9166666666666666,0.9666666666666667,0.9666666666666667,0.9166666666666666,2.3
PMSG,WINDINGS,3 CT + 3 VT + drive,3,V2_V1,23,9.7,9.7,0.9166666666666666,0.9666666666666667,0.9666666666666667,0.9166666666666666,2.3
SCIG,TURNS,drive-internal,0,Id_2fe,13,7.4,7.4,0.7777777777777778,0.9722222222222222,0.9722222222222222,0.7777777777777778,2.7
SCIG,TURNS,3 CT,1,I2_I1,6,7.4,7.4,0.7037037037037037,0.9166666666666666,0.9444444444444444,0.7037037037037037,2.7
SCIG,TURNS,3 CT + 3 VT,2,I2_I1,7,7.4,7.4,0.7037037037037037,0.9166666666666666,0.9444444444444444,0.7037037037037037,2.7
SCIG,TURNS,3 CT + 3 VT + drive,3,Id_2fe,22,7.4,7.4,0.7777777777777778,0.9722222222222222,0.9722222222222222,0.7777777777777778,2.7
SCIG,WINDINGS,drive-internal,0,Id_2fe,13,2.3,2.3,1.0,1.0,1.0,1.0,2.3
SCIG,WINDINGS,3 CT,1,I2_I1,6,2.3,2.3,0.9814814814814815,1.0,1.0,0.9814814814814815,2.3
SCIG,WINDINGS,3 CT + 3 VT,2,I2_I1,7,2.3,2.3,0.9814814814814815,1.0,1.0,0.9814814814814815,2.3
SCIG,WINDINGS,3 CT + 3 VT + drive,3,Id_2fe,22,2.3,2.3,1.0,1.0,1.0,1.0,2.3
WFSG,TURNS,drive-internal,0,Iq_2fe,13,11.6,11.6,0.905982905982906,0.905982905982906,0.905982905982906,0.8717948717948718,11.6
WFSG,TURNS,3 CT,1,Ia_h3,6,11.6,11.6,0.9829059829059829,0.9829059829059829,0.9829059829059829,0.8632478632478633,11.6
WFSG,TURNS,3 CT + 3 VT,2,V2_V1,7,11.6,11.6,0.9829059829059829,0.9829059829059829,0.9829059829059829,0.9829059829059829,11.6
WFSG,TURNS,3 CT + 3 VT + drive,3,V2_V1,22,11.6,11.6,0.9829059829059829,0.9829059829059829,0.9829059829059829,0.9829059829059829,11.6
WFSG,TURNS,excitation (WFSG only),0,If_2fe,2,11.6,11.6,0.8632478632478633,0.8632478632478633,0.8632478632478633,0.8632478632478633,11.6
WFSG,WINDINGS,drive-internal,0,Iq_2fe,13,2.3,2.3,1.0,1.0,1.0,1.0,2.3
WFSG,WINDINGS,3 CT,1,I2_I1,6,2.3,2.3,1.0,1.0,1.0,1.0,2.3
WFSG,WINDINGS,3 CT + 3 VT,2,V2_V1,7,2.3,2.3,1.0,1.0,1.0,1.0,2.3
WFSG,WINDINGS,3 CT + 3 VT + drive,3,Iq_2fe,22,2.3,2.3,1.0,1.0,1.0,1.0,2.3
WFSG,WINDINGS,excitation (WFSG only),0,If_2fe,2,2.3,2.3,1.0,1.0,1.0,1.0,2.3
