window_cycles,machine,feature,healthy_false_alarm,n_false
3,PMSG,Id_1fe,0.2222222222222222,2
3,PMSG,PId_std,0.2222222222222222,2
3,PMSG,V2_V1,0.2222222222222222,2
3,PMSG,Tm_1fe,0.2222222222222222,2
3,PMSG,Spd_std,0.2222222222222222,2
3,SCIG,Ia_h3,0.2222222222222222,2
3,SCIG,Ia_h7,0.2222222222222222,2
3,SCIG,Id_2fe,0.2222222222222222,2
3,SCIG,Iq_2fe,0.2222222222222222,2
3,SCIG,Vqconv_2fe,0.2222222222222222,2
3,SCIG,PId_2fe,0.2222222222222222,2
3,SCIG,D2_D1,0.3333333333333333,3
3,SCIG,V2_V1,0.2222222222222222,2
3,SCIG,Vdc_std,0.2222222222222222,2
5,PMSG,Id_1fe,0.3333333333333333,3
5,PMSG,Vqconv_2fe,0.2222222222222222,2
5,PMSG,PId_std,0.2222222222222222,2
5,PMSG,Spd_std,0.4444444444444444,4
5,SCIG,Ia_h3,0.2222222222222222,2
5,SCIG,Ia_h7,0.3333333333333333,3
5,SCIG,Iq_2fe,0.2222222222222222,2
5,SCIG,Vqconv_2fe,0.2222222222222222,2
5,SCIG,D2_D1,0.4444444444444444,4
5,SCIG,Vdc_std,0.2222222222222222,2
8,PMSG,Id_1fe,0.2222222222222222,2
8,PMSG,Iq_std,0.2222222222222222,2
8,PMSG,Vqconv_2fe,0.2222222222222222,2
8,PMSG,PId_std,0.3333333333333333,3
8,PMSG,Spd_std,0.4444444444444444,4
8,SCIG,Ia_h3,0.2222222222222222,2
8,SCIG,Ia_h7,0.2222222222222222,2
8,SCIG,Iq_2fe,0.4444444444444444,4
8,SCIG,Vqconv_2fe,0.2222222222222222,2
8,SCIG,D2_D1,0.5555555555555556,5
8,SCIG,Vdc_std,0.4444444444444444,4
