calibration,model,train,test,auc_all,tpr_all,auc_oor,tpr_oor
raw,logistic,PMSG,PMSG,0.7971040125144906,0.5613382899628253,0.7980439980002179,0.5566069618114228
raw,logistic,SCIG,SCIG,0.7912440509237506,0.573041395826206,0.7990580938051848,0.5750940814231954
raw,logistic,PMSG,SCIG,0.7053878089438532,0.4071159767362299,0.7026301779561902,0.3917208347588094
raw,logistic,SCIG,PMSG,0.6061410028602809,0.25988509631632306,0.6134052934377061,0.26022304832713755
raw,gbdt,PMSG,PMSG,0.880269628781125,0.6235214599526867,0.875790902966277,0.6147347076715106
raw,gbdt,SCIG,SCIG,0.8981576554603203,0.6602805336982552,0.9036460793393108,0.6619911050290798
raw,gbdt,PMSG,SCIG,0.7723505271521378,0.3691412931919261,0.7744650187523524,0.37940472117687307
raw,gbdt,SCIG,PMSG,0.5097881886398212,0.23521459952686719,0.5127349953496686,0.23251098344035148
healthy-z,logistic,PMSG,PMSG,0.7971040125144906,0.5613382899628253,0.7980439980002179,0.5566069618114228
healthy-z,logistic,SCIG,SCIG,0.7912438274657061,0.573041395826206,0.7990578380761773,0.5750940814231954
healthy-z,logistic,PMSG,SCIG,0.6972751474483609,0.4132740335271981,0.6976298319548432,0.4122476907287034
healthy-z,logistic,SCIG,PMSG,0.39226237629257876,0.07468739438999662,0.40345983857305245,0.07705305846569788
healthy-z,gbdt,PMSG,PMSG,0.884289838795472,0.6150726596823252,0.8797006301787555,0.6093274754984792
healthy-z,gbdt,SCIG,SCIG,0.8997822212276239,0.6599384194320903,0.9055724348066205,0.6568593910366062
healthy-z,gbdt,PMSG,SCIG,0.8196328914358827,0.09237085186452275,0.8210160476601127,0.08347588094423537
healthy-z,gbdt,SCIG,PMSG,0.7603079578308672,0.3041568097330179,0.7618516244040454,0.3051706657654613
self-ref,logistic,PMSG,PMSG,0.9053226064521708,0.7130787428185198,0.8950009137073256,0.7042919905373437
self-ref,logistic,SCIG,SCIG,0.9220183421582359,0.7967841258980499,0.915965926564756,0.7885733835100923
self-ref,logistic,PMSG,SCIG,0.9120098969911701,0.6999657885733835,0.9081119517150901,0.6626753335614095
self-ref,logistic,SCIG,PMSG,0.8866868358385378,0.6140588036498817,0.8695986031848886,0.5964852990875296
self-ref,gbdt,PMSG,PMSG,0.9284001131458992,0.7593781683001014,0.9182721964047811,0.7522811760729976
self-ref,gbdt,SCIG,SCIG,0.9440318215256412,0.827232295586726,0.9365203117623018,0.8210742387957578
self-ref,gbdt,PMSG,SCIG,0.9297286330664035,0.7386247006500171,0.9202823636950325,0.7184399589462881
self-ref,gbdt,SCIG,PMSG,0.8466587780593441,0.407570125042244,0.8200864640444196,0.3825616762419736
